Wall time,Step,Value
1686595747.7770529,0,0.6328125
1686595895.753557,8,0.62109375
1686596038.7719567,16,0.62109375
1686596183.9623702,24,0.62890625
1686596422.0975907,32,0.63671875
1686596574.7764423,40,0.6171875
1686596724.3710651,48,0.62890625
1686596867.1109326,56,0.62109375
1686597105.4045997,64,0.62890625
1686597251.002612,72,0.62109375
1686597397.71572,80,0.62890625
1686597542.5806143,88,0.6484375
1686597791.799237,96,0.6328125
1686597933.8286998,104,0.6171875
1686598079.124314,112,0.63671875
1686598223.034765,120,0.625
1686598461.6324363,128,0.625
1686598603.5449355,136,0.63671875
1686598752.2655685,144,0.6328125
1686598900.6454833,152,0.6328125
1686599135.707555,160,0.625
1686599285.9705327,168,0.63671875
1686599430.196925,176,0.6328125
1686599574.880353,184,0.6328125
1686599816.8033385,192,0.63671875
1686599964.2093172,200,0.6328125
1686600108.774212,208,0.640625
1686600255.7592626,216,0.62890625
1686600486.4153888,224,0.62890625
1686600637.1146693,232,0.6328125
1686600780.3721225,240,0.62109375
1686600930.198022,248,0.62890625
1686601164.834097,256,0.62890625
1686601315.1721003,264,0.6328125
1686601460.974968,272,0.6328125
1686601601.8689427,280,0.63671875
1686601841.8576922,288,0.6328125
1686601988.1951222,296,0.62890625
1686602135.78561,304,0.6328125
1686602281.7472572,312,0.62890625
1686602516.106462,320,0.625
1686602663.6376579,328,0.6171875
1686602809.3278267,336,0.6328125
1686602952.6921246,344,0.62890625
1686603185.223375,352,0.625
1686603332.810394,360,0.62890625
1686603478.6209466,368,0.640625
1686603627.1034746,376,0.62890625
1686603862.4766726,384,0.6328125
1686604009.5402873,392,0.6328125
1686604150.732154,400,0.6484375
1686604297.4334743,408,0.6328125
1686604537.465133,416,0.62109375
1686604681.5389616,424,0.6484375
1686604828.5311587,432,0.62890625
1686604974.2363882,440,0.640625
1686605213.274931,448,0.6328125
1686605362.405807,456,0.62890625
1686605509.2921822,464,0.6171875
1686605654.37801,472,0.63671875
1686605891.7606988,480,0.625
1686606038.0972188,488,0.62890625
1686606180.304937,496,0.63671875
1686606327.4946926,504,0.6328125
1686606567.8662555,512,0.63671875
1686606711.5743167,520,0.62890625
1686606863.3440697,528,0.63671875
1686607010.3807662,536,0.625
1686607243.582653,544,0.625
1686607386.8771584,552,0.6171875
1686607529.1541042,560,0.640625
1686607675.732842,568,0.62890625
1686607914.305134,576,0.62890625
1686608059.2654405,584,0.625
1686608205.8266137,592,0.63671875
1686608346.159902,600,0.63671875
1686608590.5472953,608,0.6328125
1686608737.3871105,616,0.625
1686608882.715452,624,0.63671875
1686609026.928465,632,0.625
1686609263.7538953,640,0.62890625
