Wall time,Step,Value
1686256500.970519,0,0.60546875
1686256630.199421,8,0.6015625
1686256763.8090034,16,0.609375
1686256894.5749142,24,0.5703125
1686257099.8279517,32,0.55859375
1686257199.5936382,40,0.55078125
1686257282.1983562,48,0.51953125
1686257359.6081345,56,0.50390625
1686257483.8815606,64,0.5
1686257557.1631224,72,0.5
1686257630.2266135,80,0.5
1686257702.435387,88,0.5
1686257823.6055088,96,0.5
1686257895.3694086,104,0.5
1686257967.146043,112,0.5
1686258038.8168783,120,0.5
1686258159.323634,128,0.5
1686258231.540354,136,0.5
1686258303.16894,144,0.5
1686258374.7309213,152,0.5
1686258495.5878763,160,0.5
1686258567.057455,168,0.5
1686258638.906914,176,0.5
1686258710.6765685,184,0.5
1686258831.063921,192,0.5
1686258902.799091,200,0.5
1686258974.4483464,208,0.5
1686259046.1213846,216,0.5
1686259166.6763153,224,0.5
1686259238.3767486,232,0.5
1686259310.0330784,240,0.5
1686259381.8552146,248,0.5
1686259503.0944448,256,0.5
1686259574.9502585,264,0.5
1686259646.8441617,272,0.5
1686259718.96278,280,0.5
1686259839.6884325,288,0.5
1686259911.4096966,296,0.5
1686259983.2494495,304,0.5
1686260055.7291632,312,0.5
1686260176.688851,320,0.5
1686260248.6287982,328,0.5
1686260320.6211176,336,0.5
1686260392.5310867,344,0.5
1686260513.2778504,352,0.5
1686260585.240763,360,0.5
1686260657.8103418,368,0.5
1686260729.5336874,376,0.5
1686260850.1762514,384,0.5
1686260922.3094122,392,0.5
1686260994.1152744,400,0.5
1686261065.8724651,408,0.5
1686261186.6875525,416,0.5
1686261258.783848,424,0.5
1686261330.8325222,432,0.5
1686261402.9284253,440,0.5
1686261524.1189713,448,0.5
1686261596.070587,456,0.5
1686261667.9971566,464,0.5
1686261740.0404484,472,0.5
1686261861.4429061,480,0.5
1686261933.4337754,488,0.5
1686262005.551726,496,0.5
1686262077.4612985,504,0.5
1686262198.1494803,512,0.5
1686262270.0686228,520,0.5
1686262342.0430057,528,0.5
1686262414.4696944,536,0.5
1686262534.638998,544,0.5
1686262606.5124078,552,0.5
1686262678.2854264,560,0.5
1686262750.4559531,568,0.5
1686262870.8269987,576,0.5
1686262942.5356677,584,0.5
1686263014.6605494,592,0.5
1686263086.3408353,600,0.5
1686263206.6541564,608,0.5
1686263278.371249,616,0.5
1686263350.2498093,624,0.5
1686263422.0071366,632,0.5
1686263542.385868,640,0.5
