Wall time,Step,Value
1686595746.0972464,0,0.60546875
1686595873.888139,8,0.59375
1686596003.3571827,16,0.609375
1686596138.7442985,24,0.6015625
1686596364.744437,32,0.60546875
1686596493.1119282,40,0.59765625
1686596622.0447059,48,0.61328125
1686596748.9123404,56,0.58984375
1686596965.952425,64,0.6171875
1686597098.8152156,72,0.6015625
1686597226.2020147,80,0.59765625
1686597353.9053373,88,0.60546875
1686597571.368462,96,0.62109375
1686597701.124819,104,0.62109375
1686597828.7246275,112,0.6171875
1686597956.987151,120,0.609375
1686598174.3624003,128,0.61328125
1686598303.5942101,136,0.60546875
1686598431.2512515,144,0.60546875
1686598560.5991786,152,0.59375
1686598779.711703,160,0.59375
1686598906.8860898,168,0.6171875
1686599036.9636192,176,0.61328125
1686599167.1742625,184,0.60546875
1686599385.151863,192,0.60546875
1686599514.263864,200,0.61328125
1686599642.1295118,208,0.59765625
1686599772.791661,216,0.61328125
1686599991.7099354,224,0.5859375
1686600119.337845,232,0.59765625
1686600249.5366802,240,0.6015625
1686600379.1284618,248,0.61328125
1686600597.6141663,256,0.6171875
1686600727.6202815,264,0.60546875
1686600857.3346906,272,0.61328125
1686600987.195374,280,0.609375
1686601204.8184512,288,0.58984375
1686601335.7653987,296,0.59375
1686601465.611743,304,0.5859375
1686601604.7044408,312,0.578125
1686601843.5092793,320,0.59765625
1686601978.913224,328,0.609375
1686602112.7124705,336,0.58984375
1686602259.3087986,344,0.59375
1686602622.4667542,352,0.5859375
1686602951.3986084,360,0.546875
1686603284.1908946,368,0.515625
1686603617.102104,376,0.515625
1686604217.0011737,384,0.5234375
1686604551.2234526,392,0.5234375
1686604884.1163595,400,0.484375
1686605217.1769092,408,0.5
1686605817.281271,416,0.48046875
1686606151.4271483,424,0.49609375
1686606484.383283,432,0.5
1686606818.2736373,440,0.515625
1686607418.7249079,448,0.50390625
1686607753.3652277,456,0.49609375
1686608088.3617322,464,0.48828125
1686608422.5395482,472,0.49609375
1686609024.0920196,480,0.50390625
1686609358.135258,488,0.5078125
1686609691.2744846,496,0.49609375
1686610025.649386,504,0.50390625
1686610626.2797077,512,0.50390625
1686610960.242872,520,0.5
1686611293.4843078,528,0.5
1686611627.8801644,536,0.49609375
1686612232.0577593,544,0.51171875
1686612567.505748,552,0.5078125
1686612901.196441,560,0.51171875
1686613235.0777504,568,0.4921875
1686613834.400941,576,0.51953125
1686614168.291023,584,0.515625
1686614501.7700617,592,0.50390625
1686614835.0647936,600,0.52734375
1686615432.5783925,608,0.5078125
1686615765.7660651,616,0.4921875
1686616098.4813113,624,0.53125
1686616431.3219328,632,0.484375
1686617027.3245358,640,0.51953125
