Wall time,Step,Value
1686275811.8973005,0,0.59765625
1686275942.7981908,8,0.609375
1686276087.78172,16,0.6171875
1686276223.8432124,24,0.61328125
1686276468.9848356,32,0.6015625
1686276612.3910322,40,0.60546875
1686276754.5041175,48,0.61328125
1686276895.472745,56,0.62890625
1686277136.6580145,64,0.609375
1686277279.2088308,72,0.625
1686277419.0552268,80,0.60546875
1686277555.805438,88,0.58203125
1686277799.354674,96,0.625
1686277939.5480456,104,0.6171875
1686278078.052551,112,0.6171875
1686278223.0960538,120,0.609375
1686278458.8187711,128,0.62890625
1686278595.0870502,136,0.609375
1686278737.186787,144,0.609375
1686278878.5290017,152,0.60546875
1686279126.8452246,160,0.60546875
1686279266.6926048,168,0.6015625
1686279413.599506,176,0.609375
1686279555.3011591,184,0.60546875
1686279804.3152106,192,0.59375
1686279948.6536767,200,0.62109375
1686280091.968847,208,0.62890625
1686280233.8923173,216,0.6015625
1686280478.9539847,224,0.59375
1686280622.5741413,232,0.59375
1686280767.9765644,240,0.609375
1686280912.7804384,248,0.625
1686281163.4745185,256,0.609375
1686281307.3972812,264,0.61328125
1686281450.4107716,272,0.59765625
1686281588.3838756,280,0.6015625
1686281839.5877404,288,0.59765625
1686281984.4700484,296,0.60546875
1686282127.2115998,304,0.609375
1686282270.987366,312,0.6171875
1686282521.5731266,320,0.58984375
1686282666.497938,328,0.609375
1686282810.6438603,336,0.60546875
1686282955.2575881,344,0.59765625
1686283205.3374493,352,0.5859375
1686283351.593621,360,0.60546875
1686283497.2613575,368,0.59375
1686283643.9163704,376,0.609375
1686283895.0737674,384,0.6015625
1686284038.0348666,392,0.6015625
1686284181.6454096,400,0.59375
1686284324.1801038,408,0.61328125
1686284570.5724072,416,0.60546875
1686284711.9863462,424,0.6171875
1686284851.4409075,432,0.61328125
1686284995.6887586,440,0.59765625
1686285253.3718517,448,0.62890625
1686285394.9553783,456,0.59765625
1686285541.6867144,464,0.6171875
1686285688.1363971,472,0.61328125
1686285929.4584768,480,0.61328125
1686286069.3680024,488,0.60546875
1686286215.2134883,496,0.5859375
1686286364.1911173,504,0.6015625
1686286620.265244,512,0.59375
1686286764.1494443,520,0.58203125
1686286902.9928753,528,0.5859375
1686287042.0594547,536,0.6015625
1686287282.0051017,544,0.61328125
1686287425.5398362,552,0.62109375
1686287567.6605494,560,0.640625
1686287708.3480058,568,0.62109375
1686287956.2110205,576,0.58203125
1686288096.0386221,584,0.59375
1686288239.4692,592,0.59375
1686288388.9620519,600,0.60546875
1686288638.3305922,608,0.60546875
1686288781.0548952,616,0.60546875
1686288924.2137287,624,0.6015625
1686289069.6838152,632,0.6015625
1686289317.2913632,640,0.60546875
