Wall time,Step,Value
1686595717.8023674,0,0.59765625
1686595856.807634,8,0.6171875
1686595998.6311738,16,0.6015625
1686596131.9320498,24,0.609375
1686596354.3061702,32,0.61328125
1686596493.7311373,40,0.62109375
1686596636.083571,48,0.61328125
1686596772.0669975,56,0.6171875
1686596987.9357214,64,0.6171875
1686597123.773909,72,0.58984375
1686597258.5537863,80,0.60546875
1686597391.9399004,88,0.6015625
1686597612.5761814,96,0.61328125
1686597747.534736,104,0.61328125
1686597885.955159,112,0.62109375
1686598024.426774,120,0.62109375
1686598243.792202,128,0.62109375
1686598377.6298807,136,0.60546875
1686598517.5801444,144,0.60546875
1686598653.4847503,152,0.61328125
1686598874.4890463,160,0.61328125
1686599008.0978804,168,0.60546875
1686599144.6331744,176,0.62890625
1686599289.16568,184,0.60546875
1686599511.9775329,192,0.61328125
1686599651.0086858,200,0.6015625
1686599783.6101782,208,0.59765625
1686599918.7175748,216,0.6015625
1686600135.4851174,224,0.6015625
1686600266.3477325,232,0.61328125
1686600402.5090072,240,0.609375
1686600534.3044627,248,0.62890625
1686600764.490206,256,0.625
1686600905.4812613,264,0.6171875
1686601040.685515,272,0.625
1686601173.1736212,280,0.62109375
1686601391.8641744,288,0.625
1686601525.291852,296,0.60546875
1686601659.89148,304,0.609375
1686601795.347231,312,0.6171875
1686602016.138173,320,0.609375
1686602150.351379,328,0.625
1686602286.563632,336,0.625
1686602423.1334503,344,0.6171875
1686602638.8520732,352,0.63671875
1686602780.2634223,360,0.609375
1686602913.9789875,368,0.609375
1686603053.0149407,376,0.609375
1686603268.7389839,384,0.60546875
1686603405.3151207,392,0.609375
1686603540.4828093,400,0.62109375
1686603675.729888,408,0.6171875
1686603895.5696738,416,0.61328125
1686604031.7377205,424,0.62109375
1686604165.8558438,432,0.60546875
1686604298.4019861,440,0.6171875
1686604521.4338064,448,0.625
1686604653.0465987,456,0.62109375
1686604785.937626,464,0.625
1686604922.6050355,472,0.6171875
1686605144.7392056,480,0.62109375
1686605279.6933596,488,0.6328125
1686605417.2715368,496,0.625
1686605548.4304278,504,0.625
1686605766.6923366,512,0.61328125
1686605898.311639,520,0.6171875
1686606033.2856705,528,0.625
1686606171.360824,536,0.62109375
1686606389.7492604,544,0.62890625
1686606521.8876634,552,0.62109375
1686606655.9413862,560,0.609375
1686606791.869521,568,0.6171875
1686607005.8310628,576,0.6171875
1686607137.4089913,584,0.61328125
1686607273.8177054,592,0.60546875
1686607408.5934749,600,0.61328125
1686607624.42479,608,0.609375
1686607759.2545588,616,0.62109375
1686607892.6346083,624,0.6171875
1686608024.5460198,632,0.61328125
1686608243.4204695,640,0.61328125
