Wall time,Step,Value
1686197835.7017167,0,0.59765625
1686197969.5185363,8,0.60546875
1686198105.4711874,16,0.6015625
1686198231.8295138,24,0.59375
1686198442.7188683,32,0.609375
1686198580.315946,40,0.5859375
1686198705.296375,48,0.60546875
1686198833.88393,56,0.58203125
1686199034.0895152,64,0.59375
1686199159.5441148,72,0.60546875
1686199284.3300817,80,0.60546875
1686199408.7043157,88,0.6015625
1686199618.1170015,96,0.6015625
1686199745.9262435,104,0.609375
1686199874.9894428,112,0.6015625
1686200007.7342124,120,0.59375
1686200221.680044,128,0.59765625
1686200350.760773,136,0.59765625
1686200489.1875489,144,0.62109375
1686200629.541646,152,0.625
1686200860.6982546,160,0.609375
1686200987.2393456,168,0.61328125
1686201117.1385593,176,0.62109375
1686201248.6730015,184,0.61328125
1686201468.6376944,192,0.625
1686201605.1134017,200,0.6015625
1686201739.340815,208,0.62109375
1686201878.8681738,216,0.62109375
1686202106.4604406,224,0.6328125
1686202242.8638647,232,0.62109375
1686202386.8024268,240,0.64453125
1686202566.9318676,248,0.65234375
1686202852.5083077,256,0.59765625
1686203059.192426,264,0.55078125
1686203251.3193479,272,0.5625
1686203629.4426467,280,0.5625
1686204307.935624,288,0.50390625
1686204726.0548522,296,0.4609375
1686205140.1753209,304,0.5
1686205556.4406898,312,0.5078125
1686206240.0963857,320,0.5
1686206663.5858235,328,0.5
1686207088.1710649,336,0.5
1686207513.7431865,344,0.5
1686208204.7509897,352,0.5
1686208631.2286692,360,0.5
1686209056.9565427,368,0.5
1686209482.234811,376,0.5
1686210175.584579,384,0.5
1686210602.2937062,392,0.5
1686211027.3140187,400,0.5
1686211453.83393,408,0.5
1686212147.368751,416,0.5
1686212572.2134356,424,0.5
1686212997.3192413,432,0.5
1686213421.996434,440,0.5
1686214116.1845286,448,0.5
1686214541.1125116,456,0.5
1686214965.4166622,464,0.5
1686215390.9278784,472,0.5
1686216083.2953534,480,0.5
1686216508.7137206,488,0.5
1686216933.8260992,496,0.5
1686217358.6371746,504,0.5
1686218051.6005805,512,0.5
1686218476.5903642,520,0.5
1686218902.8167155,528,0.5
1686219328.5917745,536,0.5
1686220024.8202105,544,0.5
1686220462.3038886,552,0.5
1686220900.144501,560,0.5
1686221335.046106,568,0.5
1686222044.835965,576,0.5
1686222477.8799229,584,0.5
1686222913.802427,592,0.5
1686223349.0964637,600,0.5
1686224058.8035936,608,0.5
1686224492.0454736,616,0.5
1686224926.8570888,624,0.5
1686225362.2719,632,0.5
1686226069.3337245,640,0.5
