Wall time,Step,Value
1686275917.0862243,0,0.6953125
1686276045.1161635,8,0.6875
1686276174.8378327,16,0.66796875
1686276305.5548153,24,0.671875
1686276526.4415722,32,0.69140625
1686276657.1977756,40,0.67578125
1686276785.1800802,48,0.65625
1686276915.1337721,56,0.671875
1686277136.740081,64,0.66015625
1686277263.8297644,72,0.6640625
1686277394.0098605,80,0.67578125
1686277525.4869788,88,0.6640625
1686277746.413065,96,0.67578125
1686277875.8092685,104,0.66796875
1686278003.5398223,112,0.6875
1686278133.3359184,120,0.6796875
1686278354.914455,128,0.66796875
1686278484.650592,136,0.6640625
1686278616.4631674,144,0.6640625
1686278744.7969675,152,0.66796875
1686278965.4386296,160,0.66015625
1686279096.0904057,168,0.6640625
1686279228.016866,176,0.6796875
1686279357.505692,184,0.6640625
1686279586.1251628,192,0.65625
1686279721.5060847,200,0.640625
1686279859.784518,208,0.65234375
1686280012.2413595,216,0.6796875
1686280283.548262,224,0.6796875
1686280439.7251112,232,0.66796875
1686280593.3266451,240,0.68359375
1686280738.2720919,248,0.67578125
1686281021.094743,256,0.6796875
1686281163.8201172,264,0.66015625
1686281313.6273289,272,0.6796875
1686281468.1393785,280,0.6640625
1686281726.7328188,288,0.69140625
1686281882.2178726,296,0.671875
1686282033.7207017,304,0.66796875
1686282180.5397701,312,0.65625
1686282446.1677186,320,0.6640625
1686282594.6961193,328,0.6796875
1686282744.7564754,336,0.66015625
1686282896.5677757,344,0.66015625
1686283160.232402,352,0.6875
1686283310.7897172,360,0.67578125
1686283468.8920903,368,0.671875
1686283615.509567,376,0.66796875
1686283873.857652,384,0.65625
1686284025.3341362,392,0.67578125
1686284185.4844356,400,0.67578125
1686284329.8116276,408,0.66796875
1686284590.0154946,416,0.69140625
1686284741.9087696,424,0.6796875
1686284895.6483374,432,0.6875
1686285052.3741872,440,0.68359375
1686285295.984613,448,0.69921875
1686285451.9050941,456,0.6875
1686285602.2743032,464,0.65625
1686285758.2017403,472,0.6796875
1686286024.5116575,480,0.68359375
1686286179.6157017,488,0.67578125
1686286326.3117805,496,0.67578125
1686286479.7107334,504,0.69140625
1686286727.2745445,512,0.65625
1686286890.2819238,520,0.671875
1686287036.8762121,528,0.6875
1686287192.5925865,536,0.6875
1686287448.554116,544,0.66796875
1686287599.3348954,552,0.66015625
1686287761.0086932,560,0.671875
1686287907.8172014,568,0.69140625
1686288171.3480196,576,0.68359375
1686288316.1341825,584,0.67578125
1686288462.3332822,592,0.66015625
1686288610.7917056,600,0.671875
1686288859.7373226,608,0.6796875
1686289015.274727,616,0.66796875
1686289168.49221,624,0.67578125
1686289306.639746,632,0.66796875
1686289582.1409078,640,0.67578125
