Wall time,Step,Value
1686595750.955926,0,0.6953125
1686595875.1097064,8,0.64453125
1686595998.655671,16,0.66015625
1686596123.5731058,24,0.6640625
1686596336.1808197,32,0.6640625
1686596461.000797,40,0.65625
1686596583.0405998,48,0.65234375
1686596708.2489386,56,0.65234375
1686596920.103198,64,0.63671875
1686597044.2423604,72,0.6484375
1686597168.9312108,80,0.6484375
1686597293.2340398,88,0.64453125
1686597504.4388206,96,0.6640625
1686597629.2577786,104,0.65234375
1686597752.4724336,112,0.6640625
1686597879.909386,120,0.65234375
1686598091.7573326,128,0.65625
1686598216.6334198,136,0.64453125
1686598341.8315651,144,0.6484375
1686598465.0575988,152,0.6328125
1686598677.2384596,160,0.65234375
1686598802.0131443,168,0.65234375
1686598926.5870852,176,0.65625
1686599049.5064037,184,0.65234375
1686599263.3788526,192,0.63671875
1686599385.8387973,200,0.66015625
1686599510.0579724,208,0.6328125
1686599634.1473036,216,0.6484375
1686599835.9078045,224,0.65234375
1686599957.859538,232,0.64453125
1686600077.5971615,240,0.6484375
1686600197.3583996,248,0.6484375
1686600403.1354885,256,0.640625
1686600521.916808,264,0.64453125
1686600642.6080492,272,0.65234375
1686600761.1541295,280,0.66015625
1686600964.9058018,288,0.640625
1686601085.0901685,296,0.6484375
1686601204.7646255,304,0.6484375
1686601322.6322925,312,0.65234375
1686601526.5798762,320,0.6640625
1686601645.8176997,328,0.6328125
1686601765.0820243,336,0.64453125
1686601886.2515805,344,0.6640625
1686602090.142992,352,0.65625
1686602209.5429306,360,0.65234375
1686602329.3390918,368,0.65234375
1686602449.0873344,376,0.6484375
1686602652.5026414,384,0.6484375
1686602771.2115333,392,0.65234375
1686602889.9745078,400,0.66015625
1686603010.552382,408,0.66796875
1686603215.1440077,416,0.66015625
1686603334.112881,424,0.66015625
1686603455.9758687,432,0.6640625
1686603580.2635927,440,0.6484375
1686603784.1123893,448,0.65234375
1686603903.881692,456,0.66015625
1686604023.5535338,464,0.65625
1686604144.1292443,472,0.64453125
1686604347.702603,480,0.640625
1686604468.468625,488,0.65234375
1686604588.0397336,496,0.6484375
1686604707.244516,504,0.64453125
1686604912.1504636,512,0.65234375
1686605033.5867226,520,0.66015625
1686605152.6812613,528,0.65234375
1686605271.985932,536,0.6484375
1686605475.6151047,544,0.65234375
1686605594.2783623,552,0.6484375
1686605713.931788,560,0.62109375
1686605834.8095293,568,0.6484375
1686606036.3502023,576,0.6484375
1686606156.1087978,584,0.6328125
1686606277.5593183,592,0.66015625
1686606396.1105142,600,0.66796875
1686606600.1413827,608,0.64453125
