Wall time,Step,Value
1686595736.867177,0,0.60546875
1686595864.0735898,8,0.62109375
1686595999.4598339,16,0.61328125
1686596125.598238,24,0.6328125
1686596342.3749127,32,0.625
1686596466.11229,40,0.6171875
1686596590.3809936,48,0.61328125
1686596716.2720554,56,0.62109375
1686596926.6994143,64,0.62109375
1686597052.0946171,72,0.609375
1686597175.648254,80,0.61328125
1686597300.0604045,88,0.609375
1686597513.7685099,96,0.62890625
1686597640.6355772,104,0.625
1686597766.995018,112,0.62109375
1686597891.9845746,120,0.62109375
1686598101.604842,128,0.6328125
1686598226.149113,136,0.6171875
1686598349.3274665,144,0.609375
1686598475.1704555,152,0.62109375
1686598685.6876085,160,0.61328125
1686598811.3313074,168,0.61328125
1686598933.6341002,176,0.63671875
1686599063.7513125,184,0.6328125
1686599276.2391853,192,0.61328125
1686599402.5219002,200,0.62890625
1686599525.7796078,208,0.6328125
1686599651.0892782,216,0.60546875
1686599859.4991515,224,0.62890625
1686599984.524299,232,0.62890625
1686600111.3811,240,0.63671875
1686600235.5736725,248,0.62109375
1686600443.3826337,256,0.609375
1686600568.3812068,264,0.625
1686600692.525696,272,0.625
1686600818.5043395,280,0.609375
1686601025.7262018,288,0.6328125
1686601150.1322718,296,0.62890625
1686601273.85547,304,0.63671875
1686601397.115089,312,0.62890625
1686601604.3060372,320,0.6171875
1686601726.8119347,328,0.6171875
1686601852.2952619,336,0.609375
1686601976.246859,344,0.6328125
1686602191.0539126,352,0.640625
1686602317.5784345,360,0.6484375
1686602447.0106783,368,0.62109375
1686602571.3455224,376,0.6171875
1686602780.2842317,384,0.625
1686602905.2770844,392,0.6171875
1686603028.4093502,400,0.625
1686603151.2314317,408,0.62890625
1686603359.6446187,416,0.64453125
1686603483.6306775,424,0.63671875
1686603606.2354226,432,0.625
1686603730.4002967,440,0.625
1686603937.4889162,448,0.64453125
1686604060.9093807,456,0.65625
1686604192.1275942,464,0.640625
1686604315.4127107,472,0.625
1686604522.994206,480,0.640625
1686604644.174202,488,0.6328125
1686604767.472313,496,0.62109375
1686604892.6329713,504,0.6328125
1686605100.0517898,512,0.65625
1686605221.3561277,520,0.63671875
1686605344.229908,528,0.6484375
1686605470.3803697,536,0.64453125
1686605678.734081,544,0.62890625
1686605801.2307632,552,0.625
1686605922.0953422,560,0.63671875
1686606046.0505614,568,0.60546875
1686606255.4372685,576,0.62890625
1686606377.525194,584,0.62890625
1686606503.1045573,592,0.6171875
1686606625.2303212,600,0.6171875
1686606831.5663507,608,0.6328125
1686606953.9302363,616,0.640625
1686607077.5068812,624,0.62890625
1686607201.5295157,632,0.62890625
1686607407.456618,640,0.62109375
