Wall time,Step,Value
1686275768.799117,0,0.60546875
1686275887.7910867,8,0.61328125
1686276014.8155508,16,0.6171875
1686276140.2101676,24,0.625
1686276347.464167,32,0.625
1686276463.5570557,40,0.60546875
1686276581.6086903,48,0.62109375
1686276699.7435877,56,0.6171875
1686276900.4404871,64,0.63671875
1686277024.3595958,72,0.625
1686277141.406781,80,0.59765625
1686277257.7782838,88,0.62109375
1686277460.258345,96,0.60546875
1686277577.8617783,104,0.609375
1686277695.0060673,112,0.59765625
1686277809.309231,120,0.61328125
1686278007.8253942,128,0.59765625
1686278122.7823231,136,0.60546875
1686278235.8728163,144,0.6015625
1686278351.1926188,152,0.60546875
1686278547.6691163,160,0.6015625
1686278663.7539773,168,0.62109375
1686278777.350085,176,0.609375
1686278890.8618948,184,0.6015625
1686279088.2313673,192,0.6015625
1686279202.7360244,200,0.58984375
1686279314.8126993,208,0.60546875
1686279428.8729997,216,0.609375
1686279625.8542802,224,0.62890625
1686279740.7777455,232,0.625
1686279860.7126179,240,0.62109375
1686279979.6661284,248,0.62109375
1686280177.8685563,256,0.61328125
1686280293.4082468,264,0.5859375
1686280414.5574555,272,0.58984375
1686280534.4506304,280,0.62109375
1686280736.0672188,288,0.62109375
1686280855.0719028,296,0.59765625
1686280973.5143654,304,0.6015625
1686281093.95987,312,0.6015625
1686281297.9712698,320,0.6171875
1686281415.4317114,328,0.61328125
1686281537.0966733,336,0.609375
1686281662.64721,344,0.60546875
1686282000.2107959,352,0.63671875
1686282225.184155,360,0.67578125
1686282463.120818,368,0.6328125
1686282796.5398495,376,0.5703125
1686283424.16695,384,0.546875
1686283805.7618518,392,0.51171875
1686284188.533105,400,0.5
1686284571.5302138,408,0.5
1686285222.806616,416,0.5
1686285605.9245892,424,0.5
1686285988.7911124,432,0.5
1686286372.607834,440,0.5
1686287022.791973,448,0.5
1686287405.6370552,456,0.5
1686287788.4992733,464,0.5
1686288171.4860446,472,0.5
1686288821.9855273,480,0.5
1686289204.2036796,488,0.5
1686289588.1532142,496,0.5
1686289970.649603,504,0.5
1686290621.8162923,512,0.5
1686291003.362453,520,0.5
1686291383.221189,528,0.5
1686291763.3034153,536,0.5
1686292409.0299296,544,0.5
1686292790.62233,552,0.5
1686293170.630671,560,0.5
1686293551.1537893,568,0.5
1686294196.7498436,576,0.5
1686294577.437809,584,0.5
1686294958.0746768,592,0.5
1686295338.7618957,600,0.5
1686295985.2776277,608,0.5
1686296366.240995,616,0.5
1686296745.924621,624,0.5
1686297127.2462466,632,0.5
1686297773.5112846,640,0.5
