Wall time,Step,Value
1686275752.0722375,0,0.60546875
1686275885.3638659,8,0.59765625
1686276020.516024,16,0.609375
1686276156.3498242,24,0.5859375
1686276379.6590312,32,0.59765625
1686276503.9489532,40,0.58984375
1686276633.057364,48,0.62109375
1686276762.5536726,56,0.6171875
1686276985.8721712,64,0.60546875
1686277114.1855128,72,0.609375
1686277242.769946,80,0.62109375
1686277381.680386,88,0.625
1686277632.0329318,96,0.6171875
1686277769.6788042,104,0.625
1686277896.6648808,112,0.62890625
1686278028.192102,120,0.63671875
1686278254.5828133,128,0.6328125
1686278380.6490588,136,0.6484375
1686278515.775691,144,0.65625
1686278650.3760974,152,0.64453125
1686278877.2869217,160,0.65234375
1686279013.7334507,168,0.63671875
1686279150.1695344,176,0.65625
1686279293.2385883,184,0.6484375
1686279552.8115895,192,0.625
1686279751.450295,200,0.62109375
1686280121.119994,208,0.609375
1686280503.3537834,216,0.53125
1686281203.4246361,224,0.5
1686281585.7356985,232,0.46484375
1686281968.963461,240,0.49609375
1686282351.4007895,248,0.50390625
1686283048.508594,256,0.49609375
1686283434.4642456,264,0.5
1686283818.5964386,272,0.5
1686284203.2438915,280,0.4921875
1686284901.9151058,288,0.49609375
1686285286.215318,296,0.49609375
1686285670.525326,304,0.5
1686286053.9729185,312,0.484375
1686286751.6777782,320,0.4921875
1686287134.9343908,328,0.49609375
1686287519.309563,336,0.4921875
1686287902.5720313,344,0.4921875
1686288598.2148585,352,0.5
1686288981.6653519,360,0.484375
1686289365.55666,368,0.4921875
1686289749.3524787,376,0.4921875
1686290444.4174812,384,0.49609375
1686290827.7363272,392,0.50390625
1686291211.2829118,400,0.5
1686291595.348257,408,0.4921875
1686292269.397695,416,0.4921875
1686292602.4228463,424,0.50390625
1686292934.2215872,432,0.4921875
1686293278.2736979,440,0.4921875
1686293880.303591,448,0.48828125
1686294214.299372,456,0.50390625
1686294603.5155282,464,0.4921875
1686294992.1973617,472,0.5
1686295698.3587656,480,0.5
1686296089.9894817,488,0.49609375
1686296442.0747774,496,0.5
1686296777.431637,504,0.51171875
1686297397.230612,512,0.4921875
1686297776.3862402,520,0.5
1686298167.2704852,528,0.5
1686298557.1556213,536,0.5078125
1686299199.860883,544,0.49609375
1686299590.5597851,552,0.49609375
1686299981.997118,560,0.49609375
1686300372.2612464,568,0.49609375
1686301080.1892726,576,0.4921875
1686301471.466225,584,0.50390625
1686301861.2636583,592,0.4921875
1686302251.3383942,600,0.5
1686302961.6090205,608,0.5
1686303350.6071389,616,0.4921875
1686303740.471936,624,0.49609375
1686304130.8316035,632,0.49609375
1686304840.2418263,640,0.50390625
