Wall time,Step,Value
1685418586.8926353,0,0.60546875
1685418699.6406224,4,0.59375
1685418835.416,8,0.57421875
1685419121.805402,12,0.55859375
1685419437.2958283,16,0.5546875
1685419767.2156353,20,0.49609375
1685420099.4475234,24,0.5
1685420430.701588,28,0.5
1685421033.954885,32,0.5
1685421367.36499,36,0.5
1685421698.9695487,40,0.5
1685422031.4120412,44,0.5
1685422363.2492764,48,0.5
1685422695.8278484,52,0.5
1685423028.080151,56,0.5
1685423361.234585,60,0.5
1685423966.0980728,64,0.5
1685424297.5248258,68,0.5
1685424629.776712,72,0.5
1685424961.531099,76,0.5
1685425294.100551,80,0.5
1685425626.1348405,84,0.5
1685425958.614122,88,0.5
1685426290.1981735,92,0.5
1685426894.6408818,96,0.5
1685427227.0612724,100,0.5
1685427559.6202548,104,0.5
1685427891.383262,108,0.5
1685428222.1756685,112,0.5
1685428554.296177,116,0.5
1685428886.7108033,120,0.5
1685429219.3990197,124,0.5
1685429824.3063622,128,0.5
1685430156.5866785,132,0.5
1685430488.9129906,136,0.5
1685430820.7867672,140,0.5
1685431152.9831831,144,0.5
1685431484.7068954,148,0.5
1685431816.8659537,152,0.5
1685432148.440955,156,0.5
1685432752.768133,160,0.5
1685433084.3573704,164,0.5
1685433416.0413973,168,0.5
1685433748.582633,172,0.5
1685434080.5725935,176,0.5
1685434412.3964758,180,0.5
1685434745.308386,184,0.5
1685435077.494857,188,0.5
1685435682.0938663,192,0.5
1685436013.8388085,196,0.5
1685436345.8880303,200,0.5
1685436678.057626,204,0.5
1685437010.4557264,208,0.5
1685437342.1364713,212,0.5
1685437674.683794,216,0.5
1685438006.2524388,220,0.5
1685438610.7352889,224,0.5
1685438941.6628754,228,0.5
1685439271.2540786,232,0.5
1685439600.2988362,236,0.5
1685439929.5286086,240,0.5
1685440259.037829,244,0.5
1685440589.1956737,248,0.5
1685440918.9887736,252,0.5
1685441519.360473,256,0.5
1685441848.66838,260,0.5
1685442178.4308991,264,0.5
1685442509.2279212,268,0.5
1685442839.6300318,272,0.5
1685443168.5946302,276,0.5
1685443497.6391525,280,0.5
1685443827.3972964,284,0.5
1685444427.5200965,288,0.5
1685444757.1403167,292,0.5
1685445086.8280845,296,0.5
1685445416.3942962,300,0.5
1685445745.7760072,304,0.5
1685446075.3821762,308,0.5
1685446404.5539837,312,0.5
1685446732.9999273,316,0.5
1685447332.873916,320,0.5
1685447662.99939,324,0.5
1685447992.471684,328,0.5
1685448321.6553643,332,0.5
1685448651.327188,336,0.5
1685448980.3406055,340,0.5
1685449310.1422899,344,0.5
1685449640.3134744,348,0.5
1685450239.9601607,352,0.5
1685450569.3483455,356,0.5
1685450899.0173573,360,0.5
1685451228.7841575,364,0.5
1685451558.8901477,368,0.5
1685451888.078412,372,0.5
1685452217.732159,376,0.5
1685452547.3025122,380,0.5
1685453147.2961295,384,0.5
1685453476.3582318,388,0.5
1685453806.0085218,392,0.5
1685454136.1691792,396,0.5
1685454466.3007028,400,0.5
1685454795.5987892,404,0.5
1685455125.1060562,408,0.5
1685455455.2824886,412,0.5
1685456054.5113177,416,0.5
1685456383.6334362,420,0.5
1685456713.077439,424,0.5
1685457042.2001798,428,0.5
1685457371.4454145,432,0.5
1685457701.4257052,436,0.5
1685458031.0367296,440,0.5
1685458360.6472101,444,0.5
1685458961.5139081,448,0.5
1685459290.9778366,452,0.5
1685459620.6415167,456,0.5
1685459950.3479786,460,0.5
1685460279.5351892,464,0.5
1685460609.143378,468,0.5
1685460938.673973,472,0.5
1685461267.5460594,476,0.5
1685461867.6388853,480,0.5
1685462196.97789,484,0.5
1685462526.6032524,488,0.5
1685462856.179493,492,0.5
1685463186.0229695,496,0.5
1685463515.711373,500,0.5
1685463845.8134878,504,0.5
1685464175.371644,508,0.5
1685464775.6304076,512,0.5
1685465104.856276,516,0.5
1685465434.4155643,520,0.5
1685465764.1674962,524,0.5
1685466092.957448,528,0.5
1685466421.9194858,532,0.5
1685466754.5347493,536,0.5
1685467092.3877718,540,0.5
1685467707.7583723,544,0.5
1685468045.670702,548,0.5
1685468383.270616,552,0.5
1685468720.578749,556,0.5
1685469058.7161543,560,0.5
1685469396.0809574,564,0.5
1685469733.6861467,568,0.5
1685470071.281577,572,0.5
1685470686.5604668,576,0.5
1685471024.2053523,580,0.5
1685471362.6234155,584,0.5
1685471700.058084,588,0.5
1685472037.272617,592,0.5
1685472374.4451308,596,0.5
1685472712.6068087,600,0.5
1685473050.0630562,604,0.5
1685473664.6232271,608,0.5
1685474001.3759758,612,0.5
1685474340.0167003,616,0.5
1685474676.919633,620,0.5
1685475013.7517521,624,0.5
1685475350.349401,628,0.5
1685475687.8549566,632,0.5
