Wall time,Step,Value
1685408596.5638108,0,0.60546875
1685408711.7599678,4,0.59765625
1685408827.4121368,8,0.58203125
1685408946.1062808,12,0.59765625
1685409061.2893744,16,0.5859375
1685409175.2343462,20,0.59375
1685409288.033757,24,0.59765625
1685409401.2853026,28,0.609375
1685409612.5655153,32,0.58203125
1685409727.0742874,36,0.58203125
1685409838.4039485,40,0.58984375
1685409950.0081623,44,0.59375
1685410062.0029545,48,0.5859375
1685410177.487349,52,0.59765625
1685410291.6887114,56,0.58203125
1685410404.1626475,60,0.6015625
1685410610.7731822,64,0.59765625
1685410722.41126,68,0.58203125
1685410836.9826486,72,0.59765625
1685410952.2274857,76,0.59765625
1685411065.6882205,80,0.58984375
1685411177.3681073,84,0.59765625
1685411288.9327474,88,0.58984375
1685411406.4245553,92,0.59375
1685411619.9741478,96,0.60546875
1685411733.793804,100,0.6171875
1685411856.034313,104,0.5859375
1685411970.811774,108,0.61328125
1685412082.968512,112,0.58984375
1685412194.5851855,116,0.58984375
1685412310.1700258,120,0.578125
1685412422.7196987,124,0.59375
1685412632.0139277,128,0.6328125
1685412755.0565522,132,0.5859375
1685412868.9512694,136,0.58984375
1685412981.857608,140,0.5859375
1685413095.490739,144,0.609375
1685413210.9230726,148,0.58203125
1685413325.2254987,152,0.609375
1685413437.7978222,156,0.58984375
1685413642.737675,160,0.6015625
1685413756.554019,164,0.609375
1685413871.175557,168,0.5859375
1685413982.3127444,172,0.6015625
1685414098.004356,176,0.5859375
1685414209.490119,180,0.59375
1685414322.3947897,184,0.59765625
1685414434.5821285,188,0.5859375
1685414643.3984797,192,0.58203125
1685414757.400792,196,0.609375
1685414873.0174658,200,0.60546875
1685414985.7195678,204,0.62109375
1685415102.066199,208,0.58984375
1685415213.885992,212,0.6015625
1685415329.1050694,216,0.58984375
1685415440.8260849,220,0.58203125
1685415647.6331844,224,0.5859375
1685415760.9805682,228,0.6015625
1685415873.778129,232,0.59375
1685415985.7472405,236,0.6015625
1685416099.7323005,240,0.609375
1685416214.4869506,244,0.6015625
1685416328.618051,248,0.6015625
1685416443.890222,252,0.58203125
1685416651.5806477,256,0.58984375
1685416765.2664592,260,0.59765625
1685416877.2616594,264,0.609375
1685416990.955848,268,0.609375
1685417103.6898773,272,0.58203125
1685417218.7946043,276,0.6171875
1685417335.2247763,280,0.59375
1685417447.8075335,284,0.59375
1685417654.572726,288,0.60546875
1685417767.4343872,292,0.6015625
1685417877.4271176,296,0.6015625
1685417991.2487833,300,0.58984375
1685418105.2061288,304,0.60546875
1685418221.8881838,308,0.60546875
1685418332.9294293,312,0.5859375
1685418445.8543015,316,0.59375
1685418652.323994,320,0.59765625
1685418767.3485947,324,0.59765625
1685418881.809331,328,0.59765625
1685418994.7127564,332,0.609375
1685419107.1119757,336,0.60546875
1685419220.1303103,340,0.58984375
1685419332.59115,344,0.5703125
1685419446.4561343,348,0.61328125
1685419652.079646,352,0.59375
1685419765.792562,356,0.609375
1685419881.347229,360,0.6015625
1685419994.276476,364,0.6015625
1685420105.7705007,368,0.5859375
1685420218.3200734,372,0.58203125
1685420334.4717627,376,0.6171875
1685420448.1042292,380,0.6015625
1685420654.650684,384,0.59375
1685420767.3123055,388,0.59375
1685420882.13403,392,0.5859375
1685420995.917197,396,0.5859375
1685421107.5896924,400,0.58203125
1685421221.0326986,404,0.61328125
1685421336.6461163,408,0.6015625
1685421448.4746902,412,0.59765625
1685421655.0857413,416,0.58984375
1685421769.2252676,420,0.58984375
1685421882.0310528,424,0.6015625
1685421995.8337185,428,0.5859375
1685422110.135953,432,0.609375
1685422224.392657,436,0.609375
1685422338.5169132,440,0.58203125
1685422454.3328621,444,0.62109375
1685422658.6820915,448,0.59375
1685422772.2252917,452,0.60546875
1685422887.549602,456,0.59375
1685423005.344052,460,0.59375
1685423117.419835,464,0.609375
1685423228.7674122,468,0.59765625
1685423343.4334307,472,0.6015625
1685423456.9126892,476,0.59765625
1685423663.343564,480,0.59765625
1685423778.388041,484,0.58203125
1685423894.266362,488,0.58984375
1685424007.1141465,492,0.59765625
1685424120.4578526,496,0.6015625
1685424235.1800714,500,0.58203125
1685424347.6199825,504,0.58984375
1685424464.0584254,508,0.59765625
1685424670.3763747,512,0.5859375
1685424785.4151256,516,0.60546875
1685424901.4445274,520,0.59375
1685425013.995445,524,0.609375
1685425125.5875156,528,0.6015625
1685425237.7658517,532,0.60546875
1685425352.5421057,536,0.61328125
1685425467.561691,540,0.6015625
1685425676.6305194,544,0.5859375
1685425789.7946002,548,0.60546875
1685425904.3026826,552,0.58984375
1685426017.6123648,556,0.59375
1685426132.253989,560,0.609375
1685426247.6456535,564,0.58203125
1685426361.3595078,568,0.57421875
1685426477.4535542,572,0.5859375
1685426684.6170204,576,0.5859375
1685426800.1742878,580,0.59765625
1685426912.315052,584,0.58984375
1685427027.4388862,588,0.60546875
1685427143.8139045,592,0.59375
1685427255.9580066,596,0.6015625
1685427371.4908862,600,0.58984375
1685427483.3382363,604,0.6015625
1685427689.3035169,608,0.59375
1685427804.553408,612,0.5859375
1685427919.3599985,616,0.5703125
1685428033.6172655,620,0.609375
1685428149.6126492,624,0.6171875
1685428262.6325371,628,0.6015625
1685428379.374873,632,0.59765625
1685428493.5490131,636,0.5859375
1685428698.903081,640,0.6015625
