Wall time,Step,Value
1684483135.6410646,0,0.60546875
1684483247.0800142,4,0.6015625
1684483359.5627136,8,0.6015625
1684483477.4169543,12,0.6171875
1684483598.1864345,16,0.58984375
1684483711.977575,20,0.59375
1684483825.3048575,24,0.60546875
1684483936.6373897,28,0.61328125
1684484141.7121124,32,0.6015625
1684484253.3531215,36,0.59375
1684484363.2185671,40,0.58203125
1684484473.3549056,44,0.578125
1684484585.0602248,48,0.59765625
1684484696.8514457,52,0.58984375
1684484810.763556,56,0.60546875
1684484923.610321,60,0.59375
1684485131.0289466,64,0.6171875
1684485243.9926434,68,0.6171875
1684485359.0248606,72,0.59375
1684485472.8711605,76,0.60546875
1684485582.3128276,80,0.60546875
1684485689.88813,84,0.5859375
1684485794.4632761,88,0.58203125
1684485901.1682458,92,0.58984375
1684486094.2122078,96,0.609375
1684486196.958039,100,0.6015625
1684486297.33139,104,0.58984375
1684486395.5070686,108,0.5859375
1684486491.5446668,112,0.5859375
1684486586.3618057,116,0.5703125
1684486676.8585517,120,0.55859375
1684486765.6631062,124,0.5703125
1684486925.915122,128,0.5546875
1684487010.4519198,132,0.54296875
1684487092.4878917,136,0.54296875
1684487172.211933,140,0.55078125
1684487250.7137892,144,0.5390625
1684487327.9565885,148,0.53125
1684487405.1983683,152,0.5234375
1684487483.877229,156,0.52734375
1684487629.7014575,160,0.53515625
1684487708.8102503,164,0.5234375
1684487795.7134204,168,0.52734375
1684487900.9025898,172,0.53515625
1684488105.9231398,176,0.5390625
1684488267.1499784,180,0.53515625
1684488435.5524173,184,0.52734375
1684488690.0540426,188,0.52734375
1684489246.3105102,192,0.49609375
1684489543.175436,196,0.5
1684489842.979746,200,0.46875
1684490144.6735973,204,0.50390625
1684490448.4865916,208,0.48828125
1684490752.4510355,212,0.5
1684491056.7598104,216,0.49609375
1684491359.8646853,220,0.5
1684491937.0100524,224,0.51171875
1684492239.5814662,228,0.48046875
1684492544.2375255,232,0.50390625
1684492849.1835337,236,0.5
1684493153.2187843,240,0.5078125
1684493457.966776,244,0.5234375
1684493762.5735912,248,0.50390625
1684494066.274851,252,0.4921875
1684494642.809427,256,0.5234375
1684494946.4970355,260,0.49609375
1684495252.5458095,264,0.5234375
1684495558.4302535,268,0.51171875
1684495863.4967203,272,0.515625
1684496165.015967,276,0.5078125
1684496467.068113,280,0.50390625
1684496771.7521307,284,0.515625
1684497350.2726882,288,0.51171875
1684497653.5110607,292,0.49609375
1684497958.7508745,296,0.50390625
1684498262.4751806,300,0.5
1684498565.6516147,304,0.47265625
1684498868.143463,308,0.4765625
1684499170.4476147,312,0.4609375
1684499471.3447485,316,0.4765625
1684500035.0357165,320,0.5
1684500329.776116,324,0.5
1684500624.3446274,328,0.50390625
1684500931.781346,332,0.5078125
1684501236.1194956,336,0.5
1684501537.1632583,340,0.48828125
1684501839.625518,344,0.5
1684502143.5367014,348,0.5
1684502720.4777584,352,0.49609375
1684503024.929908,356,0.5
1684503329.5597565,360,0.49609375
1684503632.5127897,364,0.49609375
1684503938.2742448,368,0.49609375
1684504242.8571663,372,0.49609375
1684504546.6279893,376,0.49609375
1684504850.526009,380,0.49609375
1684505425.1053126,384,0.49609375
1684505730.3116326,388,0.49609375
1684506034.2322934,392,0.49609375
1684506338.964742,396,0.49609375
1684506641.38184,400,0.49609375
1684506947.5264943,404,0.49609375
1684507251.5155804,408,0.5
1684507554.4763145,412,0.49609375
1684508132.796229,416,0.5
1684508437.026586,420,0.5
1684508742.3401415,424,0.49609375
1684509046.8873913,428,0.5
1684509352.6521668,432,0.5
1684509655.6632097,436,0.5
1684509959.197328,440,0.49609375
1684510262.9885375,444,0.5
1684510837.7222152,448,0.5
1684511141.2042816,452,0.5
1684511447.9380221,456,0.5
1684511754.217206,460,0.5
1684512056.7473028,464,0.5
1684512359.2406864,468,0.5
1684512664.2511914,472,0.5
1684512967.3201487,476,0.5
1684513543.5580215,480,0.5
1684513848.6713083,484,0.5
1684514155.0716612,488,0.49609375
1684514463.1806874,492,0.5
1684514772.1113691,496,0.5
1684515080.385007,500,0.5
1684515385.017675,504,0.49609375
1684515687.7149866,508,0.5
1684516266.0516698,512,0.5
1684516568.6919534,516,0.49609375
1684516871.5891013,520,0.5
1684517175.82029,524,0.5
1684517478.803637,528,0.49609375
1684517780.8414087,532,0.49609375
1684518082.8888798,536,0.5
1684518384.1192348,540,0.5
1684518961.3336322,544,0.5
1684519265.067789,548,0.5
1684519570.355087,552,0.5
1684519874.2663088,556,0.49609375
1684520174.014098,560,0.5
1684520476.5749218,564,0.5
1684520779.7098749,568,0.49609375
1684521082.6008964,572,0.49609375
1684521658.4625597,576,0.5
1684521968.7834795,580,0.49609375
1684522269.9324586,584,0.5
1684522571.6285422,588,0.5
1684522873.9837382,592,0.5
1684523175.9034116,596,0.49609375
1684523481.4262633,600,0.5
1684523784.2512763,604,0.5
1684524357.86161,608,0.5
1684524660.5788605,612,0.5
1684524966.4019685,616,0.50390625
1684525269.258958,620,0.49609375
1684525573.2729845,624,0.49609375
1684525877.990283,628,0.49609375
1684526182.031879,632,0.5
1684526485.0348136,636,0.49609375
1684527059.338292,640,0.5
