Wall time,Step,Value
1685420754.6251318,0,0.59765625
1685420860.9690785,4,0.61328125
1685420981.4573996,8,0.6171875
1685421108.1645832,12,0.58984375
1685421214.4685564,16,0.61328125
1685421318.9563336,20,0.59375
1685421422.2415087,24,0.6171875
1685421528.3099177,28,0.62109375
1685421732.373538,32,0.62109375
1685421840.3769548,36,0.6328125
1685421967.0725074,40,0.64453125
1685422078.010652,44,0.6171875
1685422182.9011068,48,0.62890625
1685422289.7162516,52,0.6328125
1685422394.6703053,56,0.61328125
1685422499.2766917,60,0.61328125
1685422687.242676,64,0.625
1685422792.0580783,68,0.6328125
1685422898.0047646,72,0.62890625
1685423001.7001522,76,0.625
1685423107.1372797,80,0.6328125
1685423210.9292889,84,0.61328125
1685423316.0700912,88,0.62109375
1685423423.3519487,92,0.640625
1685423613.0751553,96,0.60546875
1685423719.0927331,100,0.6171875
1685423824.5546217,104,0.62109375
1685423927.71764,108,0.61328125
1685424030.2543848,112,0.59375
1685424133.8929617,116,0.609375
1685424238.194925,120,0.625
1685424342.0587246,124,0.61328125
1685424531.31312,128,0.609375
1685424634.8367121,132,0.6328125
1685424740.780101,136,0.6171875
1685424844.8960998,140,0.62109375
1685424947.515157,144,0.62109375
1685425050.7285123,148,0.6015625
1685425155.3476143,152,0.62109375
1685425259.2256193,156,0.6171875
1685425444.827435,160,0.61328125
1685425547.2726476,164,0.60546875
1685425650.2130322,168,0.60546875
1685425756.4225886,172,0.61328125
1685425858.697988,176,0.59765625
1685425962.178284,180,0.6015625
1685426065.7607005,184,0.59375
1685426168.0885003,188,0.6015625
1685426354.674841,192,0.60546875
1685426458.008806,196,0.609375
1685426563.485996,200,0.59765625
1685426667.8587856,204,0.61328125
1685426770.346334,208,0.6015625
1685426872.4722345,212,0.59765625
1685426974.4498,216,0.61328125
1685427077.8237128,220,0.62109375
1685427263.8257174,224,0.59765625
1685427366.9450865,228,0.609375
1685427469.0639045,232,0.6171875
1685427573.3845809,236,0.6171875
1685427675.896486,240,0.61328125
1685427779.7044432,244,0.6015625
1685427887.9735343,248,0.61328125
1685427989.5478141,252,0.59375
1685428175.6974788,256,0.61328125
1685428280.3685465,260,0.59765625
1685428383.321024,264,0.6015625
1685428486.8000803,268,0.61328125
1685428590.8906436,272,0.6015625
1685428693.2812464,276,0.6015625
1685428797.0349727,280,0.6015625
1685428899.4866345,284,0.60546875
1685429086.5488899,288,0.61328125
1685429189.4013355,292,0.60546875
1685429293.2443068,296,0.58203125
1685429394.8293796,300,0.60546875
1685429499.0444388,304,0.59375
1685429601.0690768,308,0.59375
1685429703.5348306,312,0.6015625
1685429808.8312933,316,0.60546875
1685429994.6311224,320,0.60546875
1685430096.8086755,324,0.60546875
1685430198.3718736,328,0.60546875
1685430300.4403963,332,0.60546875
1685430402.8497157,336,0.60546875
1685430504.3660223,340,0.609375
1685430608.322913,344,0.61328125
1685430712.5591257,348,0.6171875
1685430897.6155682,352,0.6171875
1685430999.4324365,356,0.6015625
1685431102.1414492,360,0.609375
1685431206.3419135,364,0.61328125
1685431309.200688,368,0.59765625
1685431412.07382,372,0.609375
1685431517.7535307,376,0.6015625
1685431620.6128478,380,0.59375
1685431807.1836662,384,0.60546875
1685431911.3971953,388,0.609375
1685432016.350691,392,0.609375
1685432119.7067204,396,0.6015625
1685432221.6341875,400,0.60546875
1685432323.5175858,404,0.6171875
1685432429.0005164,408,0.6015625
1685432531.8619523,412,0.6171875
1685432717.093988,416,0.61328125
1685432818.8193944,420,0.61328125
1685432921.1928916,424,0.59765625
1685433027.4753842,428,0.60546875
1685433130.4920354,432,0.609375
1685433232.5979588,436,0.60546875
1685433335.0818055,440,0.609375
1685433436.6602225,444,0.609375
1685433624.8402596,448,0.609375
1685433730.082815,452,0.609375
1685433832.3429606,456,0.61328125
1685433934.5795155,460,0.61328125
1685434036.0071537,464,0.609375
1685434137.0585918,468,0.609375
1685434238.2324731,472,0.61328125
1685434341.3835297,476,0.61328125
1685434525.1832554,480,0.609375
1685434627.8446465,484,0.6171875
1685434729.969009,488,0.61328125
1685434831.806824,492,0.61328125
1685434933.045735,496,0.609375
1685435038.1010318,500,0.609375
1685435139.5577636,504,0.61328125
1685435245.3180814,508,0.60546875
1685435429.477314,512,0.60546875
1685435530.727629,516,0.6015625
1685435633.4700131,520,0.61328125
1685435738.0866706,524,0.60546875
1685435840.1584659,528,0.60546875
1685435944.6547606,532,0.609375
1685436046.357344,536,0.609375
1685436149.5433438,540,0.609375
1685436333.826225,544,0.609375
1685436435.571038,548,0.61328125
1685436539.1681268,552,0.60546875
1685436641.9897277,556,0.60546875
1685436744.7110527,560,0.609375
1685436847.6696405,564,0.6015625
1685436950.3542655,568,0.60546875
1685437053.0126808,572,0.6015625
1685437237.8960018,576,0.60546875
1685437341.1054444,580,0.60546875
1685437443.3155098,584,0.60546875
1685437545.4582212,588,0.60546875
1685437647.3871799,592,0.60546875
1685437752.7280965,596,0.61328125
1685437854.856503,600,0.61328125
1685437958.6981843,604,0.609375
1685438143.3855824,608,0.60546875
1685438246.0576289,612,0.609375
1685438347.4866683,616,0.609375
1685438448.3222136,620,0.609375
1685438550.3130708,624,0.60546875
1685438652.4755013,628,0.609375
1685438754.514559,632,0.61328125
1685438857.6596215,636,0.60546875
1685439045.6640534,640,0.61328125
