Wall time,Step,Value
1684461661.7667563,0,0.59765625
1684461765.8073997,4,0.5859375
1684461871.8815281,8,0.609375
1684461993.2436671,12,0.6015625
1684462099.8398423,16,0.59765625
1684462203.1356554,20,0.59765625
1684462302.2462516,24,0.5859375
1684462401.791296,28,0.59765625
1684462586.4010785,32,0.59375
1684462677.7403126,36,0.55078125
1684462758.0813031,40,0.5234375
1684462832.0483038,44,0.50390625
1684462901.562091,48,0.50390625
1684462967.7524636,52,0.5
1684463033.0551014,56,0.5
1684463096.6340647,60,0.5
1684463210.4958932,64,0.5
1684463273.249276,68,0.5
1684463335.640448,72,0.5
1684463397.74222,76,0.5
1684463459.554753,80,0.5
1684463521.7463865,84,0.5
1684463583.3924935,88,0.50390625
1684463645.2868083,92,0.50390625
1684463757.1367571,96,0.5
1684463818.0791943,100,0.50390625
1684463879.4971087,104,0.50390625
1684463941.3293295,108,0.50390625
1684464002.7157292,112,0.5
1684464064.4111652,116,0.50390625
1684464126.2153835,120,0.5
1684464187.4655063,124,0.5
1684464299.1848469,128,0.50390625
1684464360.966393,132,0.5
1684464422.3794918,136,0.5
1684464483.5050292,140,0.5
1684464544.9124448,144,0.5
1684464606.5830355,148,0.5
1684464668.2826612,152,0.5
1684464729.3442001,156,0.5
1684464840.6008768,160,0.5
1684464901.7331445,164,0.5
1684464963.044163,168,0.5
1684465024.5247808,172,0.5
1684465085.5636766,176,0.5
1684465147.9417713,180,0.5
1684465209.1868465,184,0.5
1684465270.18304,188,0.5
1684465380.5587275,192,0.5
1684465442.7315378,196,0.5
1684465504.109007,200,0.5
1684465565.007523,204,0.5
1684465625.9682956,208,0.5
1684465687.67498,212,0.5
1684465749.579507,216,0.5
1684465810.7663245,220,0.5
1684465921.5687618,224,0.5
1684465983.147691,228,0.5
1684466044.9882374,232,0.5
1684466106.5719955,236,0.5
1684466167.173037,240,0.5
1684466228.614369,244,0.5
1684466290.824573,248,0.5
1684466352.8397777,252,0.5
1684466463.5960038,256,0.5
1684466525.4827251,260,0.5
1684466587.0373266,264,0.5
1684466648.8346567,268,0.5
1684466710.54618,272,0.5
1684466771.8064353,276,0.5
1684466832.7841208,280,0.5
1684466893.7009144,284,0.5
1684467004.8949537,288,0.5
1684467066.0177863,292,0.5
1684467127.3203092,296,0.5
1684467188.5355687,300,0.5
1684467250.509035,304,0.5
1684467311.848508,308,0.5
1684467373.0062563,312,0.5
1684467433.968582,316,0.5
1684467545.5000436,320,0.5
1684467606.642855,324,0.5
1684467667.7753675,328,0.5
1684467728.8359973,332,0.5
1684467789.9168074,336,0.5
1684467851.4611855,340,0.5
1684467912.5178797,344,0.5
1684467973.7001488,348,0.5
1684468085.049748,352,0.5
1684468146.7262356,356,0.5
1684468207.7166395,360,0.5
1684468268.7934766,364,0.5
1684468330.0111234,368,0.5
1684468391.403137,372,0.5
1684468452.676853,376,0.5
1684468513.7403383,380,0.5
1684468625.589206,384,0.5
1684468686.704057,388,0.5
1684468747.765706,392,0.5
1684468808.5232894,396,0.5
1684468869.4644725,400,0.5
1684468930.3901663,404,0.5
1684468991.3462045,408,0.5
1684469052.9828947,412,0.5
1684469163.2942228,416,0.5
1684469223.9604175,420,0.5
1684469286.0507035,424,0.5
1684469347.99355,428,0.5
1684469408.7247577,432,0.5
1684469469.4789407,436,0.5
1684469530.2963054,440,0.5
1684469590.9361818,444,0.5
1684469701.3997655,448,0.5
1684469762.5309381,452,0.5
1684469823.4016275,456,0.5
1684469884.2012227,460,0.5
1684469945.645372,464,0.5
1684470006.2706146,468,0.5
1684470067.2068024,472,0.5
1684470129.5299053,476,0.5
1684470239.6711836,480,0.5
1684470300.3042715,484,0.5
1684470361.3428013,488,0.5
1684470422.1773639,492,0.5
1684470482.8592083,496,0.5
1684470544.2554789,500,0.5
1684470605.1894798,504,0.5
1684470666.4122841,508,0.5
1684470776.1786375,512,0.5
1684470837.1304953,516,0.5
1684470898.0679872,520,0.5
1684470958.679283,524,0.5
1684471019.605385,528,0.5
1684471080.261208,532,0.5
1684471141.138602,536,0.5
1684471201.9878392,540,0.5
1684471312.332094,544,0.5
1684471373.311198,548,0.5
1684471435.023062,552,0.5
1684471495.6541772,556,0.5
1684471556.3343017,560,0.5
1684471617.0635343,564,0.5
1684471678.024448,568,0.5
1684471739.3326538,572,0.5
1684471849.154717,576,0.5
1684471910.0820143,580,0.5
1684471971.1845133,584,0.5
1684472032.363607,588,0.5
1684472095.3769872,592,0.5
1684472156.2834353,596,0.5
1684472217.249058,600,0.5
1684472278.0395644,604,0.5
1684472388.6271605,608,0.5
1684472449.3235722,612,0.5
1684472510.1218874,616,0.5
1684472570.9384153,620,0.5
1684472632.4456291,624,0.5
1684472693.2451484,628,0.5
1684472753.9441576,632,0.5
1684472814.7001324,636,0.5
1684472924.8563573,640,0.5
