Wall time,Step,Value
1685420754.6865294,0,0.59765625
1685420861.0057757,4,0.59765625
1685420971.5361674,8,0.61328125
1685421090.6739016,12,0.59375
1685421196.844956,16,0.58203125
1685421301.956025,20,0.609375
1685421405.9957335,24,0.60546875
1685421513.1018434,28,0.640625
1685421737.5270844,32,0.609375
1685421846.6209219,36,0.6015625
1685421951.6211786,40,0.60546875
1685422055.6160514,44,0.625
1685422160.6824512,48,0.62890625
1685422268.135471,52,0.6171875
1685422372.5362203,56,0.609375
1685422476.5997734,60,0.609375
1685422664.779501,64,0.625
1685422769.2993634,68,0.62890625
1685422875.3234122,72,0.6328125
1685422979.3913395,76,0.62109375
1685423084.2524345,80,0.63671875
1685423188.045998,84,0.625
1685423292.6366377,88,0.609375
1685423398.8488035,92,0.609375
1685423586.8438537,96,0.60546875
1685423691.2517438,100,0.61328125
1685423795.5748262,104,0.6015625
1685423899.7083485,108,0.61328125
1685424001.7560542,112,0.625
1685424104.4161313,116,0.62109375
1685424207.7017322,120,0.62890625
1685424311.9081888,124,0.62109375
1685424499.862679,128,0.62109375
1685424603.0093238,132,0.6171875
1685424708.4287186,136,0.625
1685424812.2173219,140,0.62109375
1685424916.5231702,144,0.62890625
1685425019.9846027,148,0.62109375
1685425123.017914,152,0.609375
1685425227.7849581,156,0.6171875
1685425413.3314478,160,0.61328125
1685425517.0527108,164,0.625
1685425619.8383214,168,0.62109375
1685425725.7995555,172,0.6171875
1685425828.900432,176,0.6171875
1685425931.6294985,180,0.61328125
1685426035.6121507,184,0.6171875
1685426139.444875,188,0.6171875
1685426324.5710132,192,0.59765625
1685426427.5140886,196,0.609375
1685426533.0323217,200,0.609375
1685426638.2105846,204,0.62109375
1685426741.2104504,208,0.609375
1685426843.2225852,212,0.60546875
1685426944.879736,216,0.625
1685427048.5398715,220,0.60546875
1685427235.1090305,224,0.625
1685427337.5989897,228,0.62109375
1685427440.547801,232,0.61328125
1685427544.0312486,236,0.6171875
1685427646.583195,240,0.609375
1685427750.572292,244,0.609375
1685427855.4039361,248,0.6015625
1685427956.306747,252,0.6015625
1685428142.0658627,256,0.59765625
1685428246.618787,260,0.60546875
1685428348.798795,264,0.609375
1685428452.2807114,268,0.6015625
1685428555.4114687,272,0.58984375
1685428656.9823189,276,0.59765625
1685428761.0338979,280,0.6015625
1685428863.5921884,284,0.6015625
1685429048.7203524,288,0.6015625
1685429151.2423286,292,0.59765625
1685429254.5168102,296,0.6015625
1685429357.1696866,300,0.6015625
1685429460.0709057,304,0.60546875
1685429561.5270526,308,0.609375
1685429664.4592714,312,0.60546875
1685429769.4368496,316,0.6015625
1685429954.2827919,320,0.60546875
1685430057.303104,324,0.609375
1685430158.187712,328,0.59765625
1685430260.7387855,332,0.60546875
1685430363.5175219,336,0.609375
1685430465.1691635,340,0.59765625
1685430568.57507,344,0.60546875
1685430673.2161338,348,0.60546875
1685430859.372007,352,0.60546875
1685430960.8562999,356,0.609375
1685431062.6346486,360,0.58984375
1685431166.8281968,364,0.59375
1685431270.3495078,368,0.59375
1685431371.7531953,372,0.59375
1685431476.4430816,376,0.60546875
1685431579.626698,380,0.6015625
1685431764.4679866,384,0.59765625
1685431867.50945,388,0.59375
1685431970.0881405,392,0.59375
1685432072.3949652,396,0.59765625
1685432173.3600464,400,0.58984375
1685432275.0873806,404,0.59765625
1685432379.6737618,408,0.60546875
1685432481.7266362,412,0.6015625
1685432666.202983,416,0.6015625
1685432767.8490417,420,0.60546875
1685432869.9189942,424,0.6171875
1685432975.1746871,428,0.609375
1685433077.9145613,432,0.61328125
1685433180.6552525,436,0.60546875
1685433283.5174613,440,0.62109375
1685433385.1074374,444,0.609375
1685433574.1021836,448,0.61328125
1685433679.4106789,452,0.609375
1685433781.375296,456,0.61328125
1685433883.4082384,460,0.609375
1685433985.9432335,464,0.60546875
1685434087.5849085,468,0.61328125
1685434188.9814765,472,0.61328125
1685434292.2688417,476,0.6171875
1685434476.2796247,480,0.61328125
1685434578.3548856,484,0.609375
1685434680.870213,488,0.61328125
1685434782.9144084,492,0.609375
1685434884.3617487,496,0.609375
1685434988.180533,500,0.61328125
1685435090.1516542,504,0.609375
1685435195.1046202,508,0.609375
1685435378.755622,512,0.609375
1685435479.850716,516,0.609375
1685435582.279571,520,0.61328125
1685435686.913402,524,0.60546875
1685435788.1557605,528,0.61328125
1685435891.4863582,532,0.609375
1685435993.6115878,536,0.61328125
1685436096.9335186,540,0.61328125
1685436281.093066,544,0.61328125
1685436383.1820507,548,0.62109375
1685436485.886036,552,0.609375
1685436589.1927066,556,0.6171875
1685436691.0701816,560,0.625
1685436793.102543,564,0.61328125
1685436896.7137346,568,0.6171875
1685436999.3344848,572,0.61328125
1685437184.030228,576,0.61328125
1685437287.0434704,580,0.6171875
1685437388.604855,584,0.61328125
1685437491.7349951,588,0.6171875
1685437593.183573,592,0.6171875
1685437697.3612716,596,0.61328125
1685437799.9844742,600,0.61328125
1685437903.40594,604,0.6171875
1685438087.4020314,608,0.6171875
1685438189.9635754,612,0.62109375
1685438290.585829,616,0.61328125
1685438392.2171462,620,0.6171875
1685438494.1989963,624,0.6171875
1685438595.8297482,628,0.6171875
1685438698.0968537,632,0.6171875
1685438801.294734,636,0.6171875
1685438989.9408278,640,0.6171875
