Wall time,Step,Value
1685418575.36899,0,0.59765625
1685418669.6000168,4,0.59375
1685418765.055327,8,0.61328125
1685418871.5536907,12,0.59765625
1685418963.8890247,16,0.609375
1685419056.1722524,20,0.59375
1685419149.438057,24,0.58203125
1685419241.9489725,28,0.5859375
1685419411.5172522,32,0.58203125
1685419505.611011,36,0.5859375
1685419597.149154,40,0.59375
1685419688.6269855,44,0.59765625
1685419780.803021,48,0.60546875
1685419871.6418421,52,0.6015625
1685419960.350714,56,0.58984375
1685420048.7411468,60,0.58203125
1685420209.5219364,64,0.59375
1685420297.6101267,68,0.58203125
1685420388.4299324,72,0.6015625
1685420476.4690304,76,0.59375
1685420565.2329597,80,0.578125
1685420653.345886,84,0.59765625
1685420739.5278673,88,0.5859375
1685420826.1634114,92,0.59765625
1685420983.954289,96,0.578125
1685421070.4957216,100,0.58984375
1685421157.4500482,104,0.59375
1685421245.54814,108,0.58984375
1685421331.3539376,112,0.5859375
1685421418.2987099,116,0.5859375
1685421506.2930803,120,0.58203125
1685421594.795393,124,0.59375
1685421753.6461372,128,0.58984375
1685421840.101463,132,0.59375
1685421928.7824316,136,0.6015625
1685422014.6788714,140,0.5703125
1685422100.2133667,144,0.578125
1685422186.7904108,148,0.56640625
1685422272.3181684,152,0.58203125
1685422357.5824692,156,0.57421875
1685422517.0197477,160,0.578125
1685422603.5305579,164,0.5703125
1685422691.511973,168,0.57421875
1685422781.776246,172,0.5859375
1685422869.3468022,176,0.5703125
1685422955.691694,180,0.5859375
1685423044.1327212,184,0.5859375
1685423132.0010338,188,0.5859375
1685423291.4669418,192,0.57421875
1685423378.9136076,196,0.58203125
1685423464.344025,200,0.5859375
1685423549.6749458,204,0.5859375
1685423633.4834173,208,0.56640625
1685423716.9811273,212,0.58203125
1685423799.0102794,216,0.58203125
1685423881.9506304,220,0.56640625
1685424035.0111065,224,0.57421875
1685424118.5640547,228,0.56640625
1685424204.2695546,232,0.578125
1685424292.0687714,236,0.5625
1685424376.8633382,240,0.5625
1685424463.057255,244,0.5703125
1685424549.2658296,248,0.578125
1685424633.7727594,252,0.5859375
1685424789.4128969,256,0.56640625
1685424876.247826,260,0.56640625
1685424961.3331227,264,0.5703125
1685425045.4983788,268,0.55859375
1685425129.6431184,272,0.55078125
1685425213.0092711,276,0.55859375
1685425295.4503992,280,0.546875
1685425376.4538217,284,0.55859375
1685425526.9930634,288,0.55078125
1685425607.827304,292,0.55078125
1685425689.4224215,296,0.56640625
1685425767.1235936,300,0.5546875
1685425844.3972337,304,0.55859375
1685425920.3711863,308,0.55078125
1685425996.0600936,312,0.54296875
1685426074.2504673,316,0.55078125
1685426212.3246796,320,0.55078125
1685426288.1870706,324,0.5546875
1685426365.5534267,328,0.5546875
1685426440.6746366,332,0.546875
1685426513.9128628,336,0.5390625
1685426586.1018,340,0.53125
1685426656.5812318,344,0.51171875
1685426722.2251458,348,0.5078125
1685426833.4331021,352,0.50390625
1685426891.330987,356,0.50390625
1685426948.5233722,360,0.5
1685427004.8256512,364,0.5
1685427060.9607687,368,0.5
1685427118.270169,372,0.5
1685427177.329917,376,0.5
1685427235.6038635,380,0.5
1685427356.9932532,384,0.5234375
1685427583.5438733,388,0.52734375
1685427858.2869203,392,0.48828125
1685428152.0339835,396,0.51171875
1685428445.6241558,400,0.484375
1685428736.517706,404,0.5
1685429028.3605227,408,0.5
1685429321.204337,412,0.5
1685429851.8947966,416,0.5
1685430142.9672496,420,0.5
1685430435.0962665,424,0.5
1685430725.2317595,428,0.5
1685431017.176212,432,0.5
1685431308.2164936,436,0.5
1685431599.921849,440,0.5
1685431890.4045165,444,0.5
1685432420.6898193,448,0.5
1685432709.8173397,452,0.5
1685432999.295513,456,0.5
1685433289.3882058,460,0.5
1685433580.331801,464,0.5
1685433871.5672104,468,0.5
1685434164.1166646,472,0.5
1685434455.0379531,476,0.5
1685434983.0258207,480,0.5
1685435274.758089,484,0.5
1685435565.6757052,488,0.5
1685435855.5721953,492,0.5
1685436147.1444647,496,0.5
1685436437.490223,500,0.5
1685436728.8475995,504,0.5
1685437021.8125763,508,0.5
1685437549.1863084,512,0.5
1685437840.501947,516,0.5
1685438130.0150723,520,0.5
1685438422.7593148,524,0.5
1685438714.0555518,528,0.5
1685439005.5495992,532,0.5
1685439297.4842718,536,0.5
1685439588.7058256,540,0.5
1685440115.582838,544,0.5
1685440406.6502194,548,0.5
1685440697.603382,552,0.5
1685440987.3318088,556,0.5
1685441278.9361897,560,0.5
1685441570.2672668,564,0.5
1685441861.5073676,568,0.5
1685442153.9246233,572,0.5
1685442684.011764,576,0.5
1685442976.2456806,580,0.5
1685443267.4689612,584,0.5
1685443559.6760263,588,0.5
1685443851.8313339,592,0.5
1685444144.5919816,596,0.5
1685444436.931722,600,0.5
1685444729.28638,604,0.5
1685445258.0206792,608,0.5
1685445550.502674,612,0.5
1685445842.318276,616,0.5
1685446132.8993962,620,0.5
1685446416.877445,624,0.5
1685446701.018442,628,0.5
1685446984.6545854,632,0.5
1685447269.176142,636,0.5
1685447785.0105698,640,0.5
