Wall time,Step,Value
1685384212.6797385,0,0.6953125
1685384318.1540341,4,0.66015625
1685384425.4378445,8,0.67578125
1685384534.0488534,12,0.671875
1685384643.562172,16,0.65234375
1685384748.569018,20,0.671875
1685384852.7274485,24,0.68359375
1685384960.7624035,28,0.703125
1685385175.842977,32,0.6796875
1685385282.1110961,36,0.67578125
1685385383.3613,40,0.671875
1685385485.2922215,44,0.68359375
1685385586.1597006,48,0.68359375
1685385686.500133,52,0.671875
1685385785.5302098,56,0.68359375
1685385887.9745994,60,0.6875
1685386072.8046546,64,0.68359375
1685386172.927071,68,0.68359375
1685386273.8646848,72,0.67578125
1685386373.6398973,76,0.66796875
1685386474.8741524,80,0.67578125
1685386574.2705474,84,0.671875
1685386673.3358502,88,0.671875
1685386775.8011067,92,0.66796875
1685386959.6796172,96,0.671875
1685387059.4465988,100,0.68359375
1685387159.022238,104,0.68359375
1685387259.9660144,108,0.66796875
1685387361.4278216,112,0.67578125
1685387462.3187878,116,0.6640625
1685387561.4078472,120,0.66796875
1685387662.2513835,124,0.671875
1685387845.1603265,128,0.6640625
1685387946.3602164,132,0.66796875
1685388044.8665183,136,0.66796875
1685388143.5351784,140,0.671875
1685388242.8104548,144,0.66796875
1685388341.2646985,148,0.6640625
1685388438.6165605,152,0.66015625
1685388539.0186124,156,0.66015625
1685388719.4006462,160,0.6640625
1685388816.0476346,164,0.66015625
1685388914.24253,168,0.66015625
1685389013.230232,172,0.65625
1685389109.5675976,176,0.65625
1685389208.5869555,180,0.65625
1685389306.6696074,184,0.66015625
1685389406.4040773,188,0.65625
1685389588.0957537,192,0.66015625
1685389687.586059,196,0.65625
1685389786.7410307,200,0.65625
1685389885.6363633,204,0.65234375
1685389985.8021872,208,0.66015625
1685390084.5191655,212,0.66015625
1685390182.723215,216,0.66015625
1685390280.843853,220,0.65625
1685390461.7360394,224,0.65625
1685390558.8969646,228,0.65625
1685390658.6516778,232,0.65625
1685390757.8592699,236,0.65625
1685390856.2527752,240,0.66015625
1685390956.0785058,244,0.66015625
1685391054.556791,248,0.6640625
1685391153.7270904,252,0.6640625
1685391334.5788853,256,0.6640625
1685391433.4882615,260,0.6640625
1685391532.1445985,264,0.6640625
1685391632.3692336,268,0.6640625
1685391730.2502472,272,0.66015625
1685391829.7972639,276,0.65625
1685391928.2406313,280,0.6640625
1685392025.4100165,284,0.6640625
1685392205.8461998,288,0.6640625
1685392304.7905102,292,0.6640625
1685392402.4783533,296,0.66015625
1685392502.8157637,300,0.6640625
1685392600.2952402,304,0.6640625
1685392698.6281593,308,0.6640625
1685392797.6941485,312,0.66796875
1685392895.4283538,316,0.66796875
1685393074.9499028,320,0.66796875
1685393173.45655,324,0.66796875
1685393270.8201206,328,0.66796875
1685393369.3668215,332,0.66796875
1685393467.997377,336,0.6640625
1685393566.6301541,340,0.6640625
1685393666.7823317,344,0.6640625
1685393764.0844243,348,0.6640625
1685393944.9743862,352,0.6640625
1685394042.977398,356,0.6640625
1685394140.5257201,360,0.6640625
1685394238.7112875,364,0.6640625
1685394336.7968483,368,0.66015625
1685394434.640778,372,0.66015625
1685394533.1715636,376,0.6640625
1685394632.3084867,380,0.65625
1685394813.4516525,384,0.65234375
1685394912.2042792,388,0.64453125
1685395008.5085669,392,0.640625
1685395104.359328,396,0.625
1685395197.2859266,400,0.609375
1685395278.290716,404,0.59375
1685395349.9707184,408,0.53125
1685395416.1464102,412,0.52734375
1685395533.1177359,416,0.5234375
1685395596.8335655,420,0.5078125
1685395659.3528526,424,0.5
1685395721.7049906,428,0.5
1685395786.2658262,432,0.5
1685395848.495987,436,0.5
1685395910.0891278,440,0.5
1685395972.1392546,444,0.5
1685396084.1729538,448,0.5
1685396145.7250233,452,0.5
1685396207.1159012,456,0.5
1685396268.5055783,460,0.5
1685396329.9986668,464,0.5
1685396391.8124697,468,0.5
1685396452.5307956,472,0.5
1685396513.3576536,476,0.5
1685396623.112019,480,0.5
1685396684.6178792,484,0.5
1685396745.0895083,488,0.5
1685396805.751191,492,0.5
1685396866.2929742,496,0.5
1685396926.906154,500,0.5
1685396988.13264,504,0.5
1685397048.7350478,508,0.5
1685397157.9226768,512,0.5
1685397218.4233763,516,0.5
1685397279.5077193,520,0.5
1685397339.9792771,524,0.5
1685397400.277603,528,0.5
1685397460.798878,532,0.5
1685397521.1324756,536,0.5
1685397582.1688337,540,0.5
1685397691.0422263,544,0.5
1685397751.4200327,548,0.5
1685397811.7524724,552,0.5
1685397872.708785,556,0.5
1685397933.3407512,560,0.5
1685397993.9021332,564,0.5
1685398054.2558618,568,0.5
1685398114.7429254,572,0.5
1685398224.7452662,576,0.5
1685398285.2921817,580,0.5
1685398345.8861458,584,0.5
1685398406.421667,588,0.5
1685398467.240716,592,0.5
1685398527.813814,596,0.5
1685398588.2325983,600,0.5
1685398648.634236,604,0.5
1685398758.382747,608,0.5
1685398818.8791928,612,0.5
1685398879.4474342,616,0.5
1685398939.923294,620,0.5
1685398999.7347586,624,0.5
1685399060.9867198,628,0.5
1685399121.7648075,632,0.5
1685399182.2830482,636,0.5
1685399291.5300913,640,0.5
