Wall time,Step,Value
1684908760.8230538,0,0.6953125
1684908869.0352995,4,0.66796875
1684908975.7162185,8,0.65234375
1684909082.0323954,12,0.6640625
1684909199.1542273,16,0.65234375
1684909305.7887757,20,0.640625
1684909414.610826,24,0.6640625
1684909524.5296857,28,0.65234375
1684909722.6248562,32,0.66015625
1684909832.06345,36,0.6796875
1684909939.6480331,40,0.6484375
1684910049.48841,44,0.64453125
1684910156.7615235,48,0.65625
1684910264.397567,52,0.65625
1684910372.0832462,56,0.65234375
1684910480.4126496,60,0.640625
1684910678.3015845,64,0.6484375
1684910784.4402587,68,0.65234375
1684910892.7510598,72,0.65625
1684911001.4931862,76,0.640625
1684911109.7030354,80,0.64453125
1684911216.625258,84,0.640625
1684911324.8996341,88,0.6328125
1684911430.4652758,92,0.65625
1684911629.9889889,96,0.65234375
1684911737.6587496,100,0.625
1684911844.9646573,104,0.64453125
1684911951.600479,108,0.6484375
1684912059.6650746,112,0.6484375
1684912170.0578644,116,0.62890625
1684912277.7698603,120,0.65234375
1684912386.9170709,124,0.640625
1684912584.738212,128,0.62109375
1684912693.96286,132,0.64453125
1684912801.450809,136,0.640625
1684912909.1987727,140,0.640625
1684913016.6521292,144,0.640625
1684913124.9979541,148,0.640625
1684913233.0554237,152,0.63671875
1684913343.3391335,156,0.64453125
1684913542.9006262,160,0.6328125
1684913649.4376893,164,0.65234375
1684913757.161685,168,0.64453125
1684913866.2278152,172,0.640625
1684913973.0683343,176,0.65234375
1684914080.5927217,180,0.6328125
1684914190.2535126,184,0.625
1684914302.8334453,188,0.640625
1684914501.6978805,192,0.640625
1684914611.5438113,196,0.609375
1684914721.9639635,200,0.62890625
1684914833.7650487,204,0.62890625
1684914946.2723434,208,0.61328125
1684915058.589982,212,0.62109375
1684915172.4661212,216,0.62890625
1684915286.422858,220,0.609375
1684915499.6952276,224,0.62890625
1684915614.5800307,228,0.609375
1684915730.802435,232,0.609375
1684915846.0411663,236,0.60546875
1684915960.60765,240,0.62890625
1684916078.423497,244,0.609375
1684916194.9061852,248,0.62109375
1684916310.1154118,252,0.609375
1684916521.381415,256,0.61328125
1684916636.5820699,260,0.6171875
1684916751.391459,264,0.625
1684916867.2301452,268,0.60546875
1684916983.6789982,272,0.62109375
1684917097.4754717,276,0.62109375
1684917213.517866,280,0.609375
1684917327.9688516,284,0.6171875
1684917538.5651698,288,0.62890625
1684917655.8262825,292,0.625
1684917768.097344,296,0.62890625
1684917886.2407305,300,0.6328125
1684918002.6065688,304,0.625
1684918117.255448,308,0.6328125
1684918235.0665293,312,0.62109375
1684918351.8707457,316,0.62890625
1684918564.9955509,320,0.609375
1684918679.491285,324,0.62890625
1684918795.5552993,328,0.6171875
1684918910.3263764,332,0.6171875
1684919025.4376752,336,0.61328125
1684919141.740036,340,0.640625
1684919258.3267987,344,0.64453125
1684919375.1420517,348,0.625
1684919585.783403,352,0.60546875
1684919700.8718424,356,0.6171875
1684919816.4396522,360,0.62890625
1684919932.978654,364,0.62109375
1684920047.5803485,368,0.625
1684920162.5397975,372,0.6328125
1684920278.8760743,376,0.62109375
1684920393.9250302,380,0.64453125
1684920609.762038,384,0.625
1684920726.020798,388,0.62890625
1684920840.420453,392,0.61328125
1684920957.3988965,396,0.609375
1684921075.4810727,400,0.60546875
1684921190.5751946,404,0.62890625
1684921307.127849,408,0.61328125
1684921421.356761,412,0.625
1684921636.0367315,416,0.6171875
1684921753.51502,420,0.60546875
1684921869.7391043,424,0.60546875
1684921986.1171377,428,0.62109375
1684922102.2356076,432,0.63671875
1684922217.5364995,436,0.6328125
1684922334.4285507,440,0.625
1684922450.0568292,444,0.62109375
1684922660.5850468,448,0.6171875
1684922776.5467007,452,0.59375
1684922890.8264027,456,0.61328125
1684923005.5241714,460,0.6171875
1684923121.5015376,464,0.62109375
1684923235.6968632,468,0.62890625
1684923350.4084675,472,0.6171875
1684923469.4983935,476,0.625
1684923682.6953812,480,0.6171875
1684923797.2456033,484,0.625
1684923913.7420888,488,0.625
1684924027.6095827,492,0.640625
1684924145.7108812,496,0.61328125
1684924260.9995842,500,0.609375
1684924377.3965921,504,0.625
1684924494.3213072,508,0.609375
1684924704.2179825,512,0.62890625
1684924821.629197,516,0.62890625
1684924936.7057698,520,0.609375
1684925055.3439472,524,0.6171875
1684925168.5631752,528,0.62890625
1684925284.6275027,532,0.62109375
1684925402.984297,536,0.6171875
1684925518.6999283,540,0.625
1684925729.190344,544,0.62890625
1684925847.4192257,548,0.6171875
1684925963.7021472,552,0.63671875
1684926078.4206023,556,0.63671875
1684926195.9251993,560,0.66015625
1684926324.1069272,564,0.64453125
1684926468.4669137,568,0.65234375
1684926646.3265154,572,0.65625
1684927084.307854,576,0.6328125
1684927356.5546675,580,0.63671875
1684927623.2282395,584,0.6328125
1684927898.277354,588,0.62890625
1684928175.48869,592,0.62890625
1684928454.1303606,596,0.62890625
1684928733.1259034,600,0.6328125
1684929012.5781367,604,0.61328125
1684929549.9462497,608,0.6171875
1684929826.9722452,612,0.6171875
1684930100.898654,616,0.609375
1684930379.997512,620,0.61328125
1684930661.3236094,624,0.62109375
1684930941.9796114,628,0.640625
1684931224.2324946,632,0.625
1684931506.3242958,636,0.6328125
1684932043.6340928,640,0.61328125
