Wall time,Step,Value
1684905151.511905,0,0.60546875
1684905260.443992,4,0.609375
1684905386.128482,8,0.60546875
1684905504.3601656,12,0.62109375
1684905650.6240418,16,0.60546875
1684905764.8287601,20,0.578125
1684905879.993323,24,0.59765625
1684905995.071892,28,0.6015625
1684906223.1909454,32,0.61328125
1684906349.0956616,36,0.6171875
1684906472.9581566,40,0.6015625
1684906594.4742265,44,0.58984375
1684906714.280297,48,0.61328125
1684906835.0206676,52,0.62109375
1684906959.6330655,56,0.609375
1684907081.2954078,60,0.61328125
1684907305.38665,64,0.58984375
1684907426.786259,68,0.60546875
1684907547.4442382,72,0.59765625
1684907668.518056,76,0.625
1684907811.6992931,80,0.6171875
1684907933.4534225,84,0.6171875
1684908055.0288663,88,0.59765625
1684908175.4405801,92,0.6015625
1684908397.4611874,96,0.58984375
1684908520.7474852,100,0.6171875
1684908647.7140088,104,0.609375
1684908775.3834906,108,0.60546875
1684908901.8110573,112,0.59375
1684909026.3633823,116,0.609375
1684909151.2934337,120,0.6015625
1684909275.9150968,124,0.6015625
1684909507.0787005,128,0.6171875
1684909635.4881926,132,0.6328125
1684909767.98609,136,0.58984375
1684909890.6131048,140,0.59765625
1684910007.4876661,144,0.62109375
1684910128.6575565,148,0.58984375
1684910255.076013,152,0.6015625
1684910383.457401,156,0.6015625
1684910616.014142,160,0.6328125
1684910740.7038233,164,0.57421875
1684910863.0545065,168,0.61328125
1684910991.8230202,172,0.62109375
1684911112.954735,176,0.6015625
1684911235.252221,180,0.625
1684911361.685718,184,0.6328125
1684911481.5104854,188,0.59765625
1684911718.1618757,192,0.58984375
1684911846.2860684,196,0.6171875
1684911969.3593087,200,0.57421875
1684912091.745711,204,0.609375
1684912214.4974315,208,0.625
1684912335.718292,212,0.62109375
1684912461.3201344,216,0.59375
1684912593.443133,220,0.59765625
1684912836.2398772,224,0.58984375
1684912972.057855,228,0.59375
1684913104.779568,232,0.59765625
1684913230.1304379,236,0.62109375
1684913360.418439,240,0.62890625
1684913487.735434,244,0.61328125
1684913615.321255,248,0.59765625
1684913742.644272,252,0.59375
1684913972.0282128,256,0.58984375
1684914093.055359,260,0.6015625
1684914219.478687,264,0.58203125
1684914344.781071,268,0.5859375
1684914469.3723981,272,0.59765625
1684914595.9918234,276,0.58203125
1684914719.637213,280,0.60546875
1684914844.8776855,284,0.5859375
1684915072.676588,288,0.6015625
1684915194.6672692,292,0.59375
1684915318.645401,296,0.60546875
1684915448.0429657,300,0.609375
1684915577.2082584,304,0.609375
1684915702.8910198,308,0.60546875
1684915829.18785,312,0.61328125
1684915952.6848865,316,0.60546875
1684916179.6586316,320,0.6015625
1684916304.3512905,324,0.609375
1684916428.9303205,328,0.59765625
1684916555.8732126,332,0.61328125
1684916685.0094209,336,0.60546875
1684916809.6733193,340,0.59765625
1684916936.223575,344,0.58203125
1684917064.8077767,348,0.59375
1684917299.9604685,352,0.59375
1684917424.0522783,356,0.6015625
1684917551.7399368,360,0.625
1684917677.3998682,364,0.59375
1684917800.1861992,368,0.58984375
1684917922.2077205,372,0.60546875
1684918045.2642775,376,0.61328125
1684918172.6023061,380,0.59765625
1684918407.444426,384,0.58203125
1684918536.6168876,388,0.60546875
1684918669.2113724,392,0.58984375
1684918803.266094,396,0.60546875
1684918931.323693,400,0.625
1684919061.3861656,404,0.6171875
1684919187.7931237,408,0.59765625
1684919310.6984305,412,0.60546875
1684919538.3579004,416,0.61328125
1684919666.6123486,420,0.59375
1684919794.8640313,424,0.60546875
1684919922.2390707,428,0.59765625
1684920046.6327958,432,0.62109375
1684920172.395305,436,0.609375
1684920296.423595,440,0.6015625
1684920419.5100038,444,0.58984375
1684920648.8184078,448,0.58984375
1684920775.5345232,452,0.58984375
1684920900.8212616,456,0.58984375
1684921023.6722312,460,0.609375
1684921154.2678382,464,0.61328125
1684921281.0422754,468,0.59765625
1684921405.8768656,472,0.57421875
1684921533.2462018,476,0.5859375
1684921767.9503465,480,0.5859375
1684921894.6840968,484,0.59765625
1684922021.9964583,488,0.5859375
1684922147.3147917,492,0.59375
1684922272.1029074,496,0.6171875
1684922397.9670696,500,0.58984375
1684922523.3066278,504,0.5859375
1684922646.0311568,508,0.59765625
1684922875.654054,512,0.58984375
1684922999.9422138,516,0.58203125
1684923123.3102705,520,0.5859375
1684923249.8077574,524,0.5703125
1684923372.986401,528,0.58984375
1684923499.5494456,532,0.58203125
1684923627.083695,536,0.59765625
1684923759.4290674,540,0.57421875
1684924002.2599907,544,0.5859375
1684924132.5391684,548,0.58984375
1684924262.1453974,552,0.59375
1684924391.5938025,556,0.62109375
1684924516.3444107,560,0.59375
1684924640.6465726,564,0.609375
1684924766.329975,568,0.5859375
1684924892.0029995,572,0.62109375
1684925128.6914809,576,0.58984375
1684925253.4539146,580,0.58984375
1684925374.4879425,584,0.59765625
1684925496.3598936,588,0.60546875
1684925618.0727458,592,0.609375
1684925742.9078834,596,0.60546875
1684925864.2543428,600,0.58203125
1684925987.2704642,604,0.578125
1684926211.909605,608,0.5859375
1684926338.0189438,612,0.58203125
1684926460.4914858,616,0.58203125
1684926584.480121,620,0.59765625
1684926709.4654894,624,0.61328125
1684926834.3513432,628,0.58984375
1684926960.1072183,632,0.6015625
1684927087.2471576,636,0.60546875
1684927324.546903,640,0.61328125
