Wall time,Step,Value
1684905152.1260977,0,0.60546875
1684905261.3889852,4,0.62109375
1684905387.256283,8,0.60546875
1684905503.2328696,12,0.6171875
1684905619.790412,16,0.6015625
1684905733.861475,20,0.58984375
1684905845.3704615,24,0.61328125
1684905955.5106707,28,0.6328125
1684906203.1762226,32,0.6015625
1684906325.0084407,36,0.60546875
1684906445.4115815,40,0.61328125
1684906561.5617347,44,0.62109375
1684906680.1662953,48,0.60546875
1684906800.6632152,52,0.59765625
1684906921.7902663,56,0.62109375
1684907040.8807247,60,0.60546875
1684907263.3675208,64,0.6328125
1684907384.5138173,68,0.6328125
1684907508.4229586,72,0.609375
1684907633.2208636,76,0.61328125
1684907755.4456513,80,0.609375
1684907876.3711772,84,0.59765625
1684907996.6610508,88,0.6015625
1684908120.2512612,92,0.625
1684908348.2231395,96,0.62109375
1684908472.7263591,100,0.60546875
1684908602.7276611,104,0.59375
1684908727.2527783,108,0.61328125
1684908852.6843712,112,0.63671875
1684908999.758692,116,0.62109375
1684909127.8387232,120,0.6171875
1684909250.969547,124,0.62890625
1684909482.2948983,128,0.59375
1684909606.0496464,132,0.6328125
1684909730.8753638,136,0.59375
1684909854.602834,140,0.60546875
1684909977.3677583,144,0.6015625
1684910101.7456217,148,0.62109375
1684910227.2416818,152,0.60546875
1684910354.3923426,156,0.5859375
1684910580.193541,160,0.61328125
1684910703.4248972,164,0.5859375
1684910829.6286175,168,0.62109375
1684910956.238889,172,0.59375
1684911076.995271,176,0.59765625
1684911197.1254961,180,0.60546875
1684911323.1812468,184,0.6015625
1684911444.4128797,188,0.609375
1684911677.0685294,192,0.60546875
1684911801.0147123,196,0.58984375
1684911922.87321,200,0.61328125
1684912047.8007967,204,0.59375
1684912176.1400962,208,0.60546875
1684912300.986552,212,0.56640625
1684912429.1101356,216,0.59375
1684912550.5256538,220,0.6171875
1684912776.720201,224,0.5625
1684912900.5845048,228,0.60546875
1684913024.8254645,232,0.5859375
1684913146.6343937,236,0.58984375
1684913269.0688834,240,0.60546875
1684913396.973212,244,0.58984375
1684913524.2745724,248,0.60546875
1684913652.326983,252,0.609375
1684913884.058285,256,0.60546875
1684914007.5385852,260,0.60546875
1684914129.308334,264,0.62890625
1684914250.9468598,268,0.59765625
1684914372.6508155,272,0.60546875
1684914494.3400564,276,0.609375
1684914618.9449136,280,0.60546875
1684914746.888407,284,0.609375
1684914984.0470896,288,0.609375
1684915112.6775842,292,0.60546875
1684915239.940354,296,0.625
1684915369.9017372,300,0.59375
1684915499.3126729,304,0.61328125
1684915626.0116377,308,0.609375
1684915750.791522,312,0.609375
1684915872.7435338,316,0.5859375
1684916100.5720813,320,0.59375
1684916225.976702,324,0.59765625
1684916349.5644405,328,0.6328125
1684916474.6979024,332,0.6328125
1684916600.3377426,336,0.6015625
1684916727.5113657,340,0.6171875
1684916852.5857246,344,0.61328125
1684916976.9861038,348,0.60546875
1684917205.1169357,352,0.59765625
1684917329.9711592,356,0.62890625
1684917457.8276942,360,0.58984375
1684917580.8219404,364,0.59765625
1684917705.9441502,368,0.5859375
1684917837.3226898,372,0.609375
1684917961.6965232,376,0.5859375
1684918085.5678082,380,0.61328125
1684918323.3612978,384,0.6015625
1684918453.0359156,388,0.5859375
1684918581.2818904,392,0.5859375
1684918702.858774,396,0.609375
1684918825.7947192,400,0.58984375
1684918949.9275448,404,0.57421875
1684919077.877603,408,0.5859375
1684919201.4843416,412,0.57421875
1684919439.6375222,416,0.58984375
1684919565.163656,420,0.58203125
1684919690.7906656,424,0.58984375
1684919816.731748,428,0.59765625
1684919941.2228742,432,0.58984375
1684920067.924533,436,0.58203125
1684920189.818484,440,0.609375
1684920314.3228638,444,0.61328125
1684920553.4744341,448,0.5859375
1684920681.4234092,452,0.58203125
1684920806.3209186,456,0.578125
1684920935.4678512,460,0.59765625
1684921064.5930672,464,0.58203125
1684921195.4935443,468,0.58984375
1684921320.3926911,472,0.61328125
1684921446.067833,476,0.58984375
1684921679.7233634,480,0.58203125
1684921806.456807,484,0.61328125
1684921931.6448362,488,0.59765625
1684922058.6570861,492,0.58203125
1684922185.3182106,496,0.59765625
1684922312.1784942,500,0.6015625
1684922435.719022,504,0.609375
1684922557.054859,508,0.5859375
1684922788.4083498,512,0.59375
1684922912.8715048,516,0.5859375
1684923039.875509,520,0.578125
1684923171.4678934,524,0.62109375
1684923300.8233204,528,0.6015625
1684923425.505099,532,0.60546875
1684923548.704442,536,0.58203125
1684923676.9139066,540,0.5859375
1684923912.122466,544,0.59765625
1684924043.1492836,548,0.59375
1684924175.9599054,552,0.60546875
1684924305.6573288,556,0.59375
1684924437.7301776,560,0.58203125
1684924568.8794048,564,0.578125
1684924692.5305266,568,0.5859375
1684924816.9369564,572,0.578125
1684925052.9882565,576,0.58984375
1684925182.6099236,580,0.59765625
1684925307.649325,584,0.58203125
1684925432.1365552,588,0.59375
1684925556.8863778,592,0.60546875
1684925684.8453584,596,0.5625
1684925813.751581,600,0.6015625
1684925942.936801,604,0.58203125
1684926190.9239357,608,0.5859375
1684926322.877019,612,0.6171875
1684926452.1685724,616,0.5859375
1684926584.9789054,620,0.6015625
1684926711.6910815,624,0.6015625
1684926837.32106,628,0.6015625
1684926962.8550966,632,0.58984375
1684927088.1553285,636,0.58203125
1684927314.8775127,640,0.61328125
