Wall time,Step,Value
1684540158.1377523,0,0.60546875
1684540258.6222725,4,0.60546875
1684540359.862677,8,0.609375
1684540470.5413268,12,0.61328125
1684540594.286449,16,0.6015625
1684540708.838824,20,0.609375
1684540906.4436064,24,0.609375
1684541168.578232,28,0.6171875
1684541728.7419124,32,0.6015625
1684542006.3023226,36,0.6328125
1684542293.328876,40,0.62109375
1684542548.1156492,44,0.6015625
1684542826.1580403,48,0.60546875
1684543112.0482504,52,0.59375
1684543399.812345,56,0.55078125
1684543685.8403852,60,0.53125
1684544229.4530785,64,0.51953125
1684544516.5478828,68,0.51953125
1684544807.4925678,72,0.5078125
1684545101.9387908,76,0.5234375
1684545394.035702,80,0.51171875
1684545687.249099,84,0.5
1684545980.6454504,88,0.5234375
1684546270.1730113,92,0.515625
1684546821.9069414,96,0.5
1684547115.9940555,100,0.51171875
1684547416.0855203,104,0.49609375
1684547713.7155392,108,0.5
1684548011.8608236,112,0.515625
1684548310.3960757,116,0.5
1684548610.111483,120,0.53125
1684548909.1180058,124,0.51171875
1684549480.3523257,128,0.5546875
1684549780.6809077,132,0.5234375
1684550081.7037709,136,0.5078125
1684550380.5817297,140,0.49609375
1684550680.8471012,144,0.5234375
1684550979.9840055,148,0.4765625
1684551276.1347656,152,0.484375
1684551572.688728,156,0.50390625
1684552139.7149282,160,0.5
1684552437.7495294,164,0.51171875
1684552737.5839355,168,0.53515625
1684553036.5841062,172,0.51953125
1684553337.6698065,176,0.51953125
1684553637.1916184,180,0.484375
1684553937.0163548,184,0.4921875
1684554237.3361506,188,0.49609375
1684554804.7815557,192,0.51953125
1684555105.3240283,196,0.47265625
1684555407.2614307,200,0.51953125
1684555707.42096,204,0.49609375
1684556006.8433995,208,0.50390625
1684556305.1326892,212,0.4921875
1684556604.5939114,216,0.48828125
1684556900.2576623,220,0.5
1684557460.6057625,224,0.50390625
1684557756.1827183,228,0.50390625
1684558053.816661,232,0.5
1684558352.3595846,236,0.51953125
1684558651.7886817,240,0.5078125
1684558953.5592506,244,0.48828125
1684559255.7328107,248,0.51171875
1684559555.431062,252,0.5234375
1684560127.545636,256,0.46875
1684560429.7218518,260,0.47265625
1684560730.4958823,264,0.46484375
1684561030.0707824,268,0.47265625
1684561331.9403338,272,0.44140625
1684561633.6150706,276,0.51171875
1684561930.4318383,280,0.5
1684562229.2882633,284,0.49609375
1684562796.2868726,288,0.51171875
1684563085.3840873,292,0.51171875
1684563373.0943875,296,0.50390625
1684563671.265564,300,0.45703125
1684563970.8327532,304,0.48046875
1684564267.791414,308,0.50390625
1684564564.881478,312,0.5
1684564864.250901,316,0.51171875
1684565432.241101,320,0.515625
1684565731.8121674,324,0.48828125
1684566033.5136204,328,0.45703125
1684566329.0538611,332,0.5
1684566606.2520564,336,0.4921875
1684566899.206619,340,0.4609375
1684567191.410174,344,0.48046875
1684567455.7909486,348,0.50390625
1684567996.6246288,352,0.51171875
1684568288.7811842,356,0.5
1684568589.9369574,360,0.45703125
1684568864.3380919,364,0.5
1684569142.245304,368,0.4921875
1684569436.2807317,372,0.4921875
1684569734.680741,376,0.5
1684570034.1715057,380,0.52734375
1684570606.19748,384,0.51171875
1684570905.8159657,388,0.515625
1684571205.076624,392,0.52734375
1684571504.8204627,396,0.50390625
1684571803.7466443,400,0.51953125
1684572101.2064912,404,0.5
1684572400.3578253,408,0.53125
1684572698.6497328,412,0.5
1684573264.3783345,416,0.50390625
1684573560.514582,420,0.51171875
1684573858.2471254,424,0.51171875
1684574157.2612534,428,0.5
1684574450.9265723,432,0.50390625
1684574748.9065657,436,0.4921875
1684575050.4183085,440,0.48828125
1684575340.1459732,444,0.5
1684575858.5897439,448,0.49609375
1684576154.2663298,452,0.515625
1684576452.3113668,456,0.38671875
1684576731.7254195,460,0.5
1684577012.8451478,464,0.4921875
1684577308.6345139,468,0.4921875
1684577604.7929313,472,0.5078125
1684577902.6294584,476,0.5078125
1684578469.7030687,480,0.48046875
1684578768.400151,484,0.51953125
1684579066.0588326,488,0.5
1684579365.5468364,492,0.5390625
1684579665.5618837,496,0.51171875
1684579958.1799467,500,0.52734375
1684580250.9477894,504,0.51953125
1684580549.703746,508,0.44140625
1684581120.3689332,512,0.50390625
1684581420.6287787,516,0.5
1684581721.277215,520,0.5390625
1684582022.2339432,524,0.55078125
1684582325.155967,528,0.5625
1684582628.0796716,532,0.51953125
1684582929.807162,536,0.5078125
1684583230.5976508,540,0.49609375
1684583801.9539225,544,0.484375
1684584101.951589,548,0.49609375
1684584402.8659906,552,0.5390625
1684584703.2352245,556,0.5390625
1684585005.0835912,560,0.5703125
1684585306.3000553,564,0.54296875
1684585589.0751886,568,0.4921875
1684585883.5989647,572,0.5234375
1684586450.0835538,576,0.484375
1684586749.1299543,580,0.5078125
1684587049.8999088,584,0.55078125
1684587352.6377416,588,0.50390625
1684587653.9700265,592,0.51171875
1684587952.8717911,596,0.51171875
1684588253.705516,600,0.51953125
1684588557.1685574,604,0.44140625
1684589120.631166,608,0.4921875
1684589419.0699937,612,0.5078125
1684589720.1106365,616,0.5
1684590020.346512,620,0.5234375
1684590321.9905102,624,0.546875
1684590624.536128,628,0.4765625
1684590927.757258,632,0.53125
1684591229.519854,636,0.48046875
1684591803.2457078,640,0.51953125
