Wall time,Step,Value
1685418585.3115363,0,0.60546875
1685418688.8126152,4,0.62890625
1685418805.633064,8,0.625
1685418909.7366111,12,0.625
1685419013.6108434,16,0.609375
1685419117.100728,20,0.61328125
1685419221.0107415,24,0.61328125
1685419324.5883129,28,0.60546875
1685419517.8475375,32,0.60546875
1685419624.0932574,36,0.59375
1685419803.1484632,40,0.59765625
1685420089.8208053,44,0.59375
1685420400.3118865,48,0.609375
1685420719.2138085,52,0.57421875
1685421033.5974064,56,0.5859375
1685421355.517563,60,0.58203125
1685421941.3811967,64,0.54296875
1685422262.371736,68,0.51953125
1685422583.757185,72,0.5703125
1685422905.5372229,76,0.55859375
1685423223.5691051,80,0.57421875
1685423539.1883755,84,0.578125
1685423846.3097615,88,0.55859375
1685424165.9069073,92,0.56640625
1685424752.7663147,96,0.56640625
1685425073.45762,100,0.53515625
1685425396.9870024,104,0.546875
1685425719.8830302,108,0.56640625
1685426041.4579027,112,0.55859375
1685426362.3991683,116,0.58203125
1685426681.3399115,120,0.58203125
1685426999.541117,124,0.5546875
1685427580.8497221,128,0.53515625
1685427899.095876,132,0.57421875
1685428216.6468618,136,0.57421875
1685428534.0257897,140,0.578125
1685428850.7441905,144,0.54296875
1685429168.3889155,148,0.53515625
1685429486.6287892,152,0.53515625
1685429802.85185,156,0.55078125
1685430380.013653,160,0.53125
1685430696.2164435,164,0.53515625
1685431011.1185427,168,0.5625
1685431326.3616924,172,0.55078125
1685431641.613947,176,0.55859375
1685431956.5553076,180,0.515625
1685432271.5501053,184,0.5546875
1685432584.925712,188,0.53125
1685433161.4487653,192,0.51953125
1685433477.5493252,196,0.55859375
1685433793.7610657,200,0.5546875
1685434109.6204114,204,0.546875
1685434426.6161382,208,0.5703125
1685434742.1306121,212,0.5546875
1685435056.779205,216,0.546875
1685435370.46888,220,0.56640625
1685435945.561446,224,0.546875
1685436259.5815191,228,0.5390625
1685436573.0004122,232,0.5546875
1685436885.5961168,236,0.55859375
1685437198.7372937,240,0.55078125
1685437511.9281871,244,0.5625
1685437826.2941465,248,0.56640625
1685438141.7009065,252,0.53515625
1685438718.88048,256,0.546875
1685439034.3929408,260,0.54296875
1685439350.2426775,264,0.5390625
1685439665.057345,268,0.546875
1685439980.6241577,272,0.55078125
1685440298.6237466,276,0.57421875
1685440616.4049613,280,0.55078125
1685440933.239397,284,0.5546875
1685441509.5949888,288,0.5625
1685441825.5207949,292,0.5703125
1685442140.1364086,296,0.5390625
1685442455.298254,300,0.56640625
1685442764.8871074,304,0.578125
1685443078.1290412,308,0.53515625
1685443393.8741941,312,0.55078125
1685443710.167008,316,0.5546875
1685444286.0835135,320,0.55859375
1685444604.7007217,324,0.546875
1685444921.6849287,328,0.54296875
1685445243.4871202,332,0.57421875
1685445563.143287,336,0.5546875
1685445876.9096222,340,0.5390625
1685446192.1351645,344,0.5234375
1685446507.2817695,348,0.53515625
1685447088.581237,352,0.54296875
1685447402.8663318,356,0.5234375
1685447718.3270125,360,0.52734375
1685448033.3164887,364,0.5546875
1685448348.7638035,368,0.5703125
1685448662.8435228,372,0.5703125
1685448976.6780992,376,0.578125
1685449288.7785048,380,0.58984375
1685449859.9658566,384,0.5703125
1685450171.9620137,388,0.59375
1685450475.5791042,392,0.56640625
1685450787.8369856,396,0.5625
1685451098.6822472,400,0.59375
1685451410.2827775,404,0.5859375
1685451721.3608122,408,0.5390625
1685452025.352839,412,0.55859375
1685452595.7869065,416,0.5625
1685452908.130464,420,0.546875
1685453210.9268677,424,0.56640625
1685453523.109731,428,0.5546875
1685453834.8675637,432,0.578125
1685454147.8591835,436,0.5703125
1685454461.462216,440,0.58203125
1685454775.6091955,444,0.578125
1685455347.435892,448,0.58984375
1685455659.7360787,452,0.56640625
1685455971.483352,456,0.5859375
1685456276.3110805,460,0.58984375
1685456574.5167577,464,0.578125
1685456877.2553337,468,0.59375
1685457179.3659253,472,0.6015625
1685457489.8798168,476,0.6015625
1685458050.9191506,480,0.6171875
1685458346.3605874,484,0.609375
1685458649.1800356,488,0.625
1685458956.0014539,492,0.59375
1685459261.6756935,496,0.59375
1685459573.1495063,500,0.59765625
1685459883.674715,504,0.609375
1685460195.812242,508,0.640625
1685460795.3022385,512,0.625
1685461106.0083125,516,0.6015625
1685461415.316113,520,0.5859375
1685461718.5465834,524,0.59765625
1685462021.1202996,528,0.5859375
1685462332.8090246,532,0.57421875
1685462644.8981078,536,0.609375
1685462949.6752005,540,0.6015625
1685463517.5066478,544,0.5859375
1685463825.1849976,548,0.6171875
1685464137.3034708,552,0.58984375
1685464448.949706,556,0.5859375
1685464751.049669,560,0.59765625
1685465063.1555111,564,0.58984375
1685465373.83436,568,0.59765625
1685465681.667566,572,0.58203125
1685466251.7374856,576,0.59765625
1685466555.0993986,580,0.58984375
1685466876.475393,584,0.5859375
1685467199.0288062,588,0.5859375
1685467521.1336274,592,0.60546875
1685467843.2795959,596,0.62109375
1685468163.9396923,600,0.60546875
1685468485.429406,604,0.59375
1685469069.4375021,608,0.609375
1685469392.0676093,612,0.59765625
1685469710.255917,616,0.59765625
1685470031.5782318,620,0.58203125
1685470353.2523735,624,0.58203125
1685470671.9154654,628,0.59765625
1685470992.2492497,632,0.59765625
1685471312.672245,636,0.58203125
1685471892.77577,640,0.5625
